# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,2,-27.407122,15.281665,1699.801880,9,1002.065308,557.380310,311,20,21,10,900.251892,544.275879,346,21,21,0.083751,0.062923,1.000000
0,1,3,68.589767,6.309820,1733.290039,8,1129.046997,545.173035,289,19,20,9,1034.322510,531.818909,330,21,20,0.100079,0.075752,1.000000
0,2,5,96.467979,-7.923349,1766.940552,7,1163.287476,526.666870,260,18,19,7,1078.676392,512.998352,313,20,20,0.065278,0.050186,0.333333
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,175.648331,69.219749,1914.046875,11,1247.923584,619.331116,12,1206.260376,606.690735,0.000121,0.000096,1.000000
1,-189.210587,31.780926,1757.364258,10,793.575806,578.077881,11,722.044922,564.662903,0.087383,0.069095,1.000000
2,-27.407122,15.281665,1699.801880,9,1002.065308,557.380310,10,900.251892,544.275879,0.083751,0.062923,1.000000
3,68.589767,6.309820,1733.290039,8,1129.046997,545.173035,9,1034.322510,531.818909,0.100079,0.075752,1.000000
4,52.340927,-4.487819,958.691956,7,1163.287476,526.666870,8,627.437988,514.269470,-0.822511,0.350435,0.333333
5,96.467979,-7.923349,1766.940552,7,1163.287476,526.666870,7,1078.676392,512.998352,0.065278,0.050186,0.333333
6,118.790939,-10.785336,2175.729492,7,1163.287476,526.666870,6,1182.093872,510.328888,-2.118534,1.995976,0.333333
7,77.131363,-4.645356,897.070862,6,1234.770996,524.424927,8,627.437988,514.269470,1.379075,0.547972,0.333333
8,134.518494,-7.794312,1564.481323,6,1234.770996,524.424927,7,1078.676392,512.998352,2.313991,1.569931,0.333333
9,161.258041,-10.227833,1875.507324,6,1234.770996,524.424927,6,1182.093872,510.328888,0.140960,0.114100,0.333333
10,-249.298401,-8.238316,1708.432373,5,706.676392,525.911316,8,627.437988,514.269470,0.068431,0.053057,0.333333
11,-1487.481201,-47.105736,10193.825195,5,706.676392,525.911316,7,1078.676392,512.998352,0.975291,4.417608,0.333333
12,13689.940430,478.724609,-93795.710938,5,706.676392,525.911316,6,1182.093872,510.328888,-1.204158,50.301811,0.333333
13,-163.107574,-54.326195,1729.531006,4,823.975220,465.308746,4,741.400757,454.618378,0.086803,0.067373,1.000000
14,-515.109192,-147.881775,1935.855591,3,435.423798,363.639343,3,446.034302,361.466797,0.060172,0.053858,1.000000
15,-559.437317,-178.248810,1891.114746,2,368.765839,323.369995,2,377.351044,324.869293,0.053964,0.047428,1.000000
16,-473.774567,-192.649490,1933.154419,1,482.841553,310.788300,1,486.894165,310.422150,0.046430,0.041265,1.000000
17,-512.793762,-223.728394,1890.321167,0,424.068207,268.644379,0,424.965057,272.031799,0.046480,0.040556,1.000000
