# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,3,-26.394516,5.328792,1702.056396,8,1003.470337,544.024902,305,19,20,9,902.286804,531.012085,344,21,20,0.072535,0.054561,0.500000
0,1,2,66.771950,10.737096,1743.374390,9,1126.148315,550.920227,287,19,20,10,1034.704956,537.575378,337,21,21,0.090322,0.068771,1.000000
0,2,6,93.046661,3.049160,1780.296021,7,1157.975098,540.791626,262,18,19,8,1077.570068,527.243469,307,20,20,0.072219,0.055959,0.500000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,175.626099,69.230026,1914.055786,11,1247.896240,619.343689,12,1206.234985,606.701965,-0.001284,0.001061,1.000000
1,-189.230331,31.785185,1757.354248,10,793.548828,578.082764,11,722.017090,564.669250,0.088988,0.070364,1.000000
2,66.771950,10.737096,1743.374390,9,1126.148315,550.920227,10,1034.704956,537.575378,0.090322,0.068771,1.000000
3,-26.394516,5.328792,1702.056396,8,1003.470337,544.024902,9,902.286804,531.012085,0.072535,0.054561,0.500000
4,-38.411507,6.082401,2477.677979,8,1003.470337,544.024902,8,1077.570068,527.243469,-3.010715,3.270038,0.500000
5,70.219742,3.202539,1343.443481,7,1157.975098,540.791626,9,902.286804,531.012085,3.130421,1.845428,0.500000
6,93.046661,3.049160,1780.296021,7,1157.975098,540.791626,8,1077.570068,527.243469,0.072219,0.055959,0.500000
7,77.121399,-4.641299,897.066650,6,1234.746704,524.439392,7,627.410583,514.275574,1.370700,0.544643,0.500000
8,161.235901,-10.217032,1875.483398,6,1234.746704,524.439392,6,1182.062622,510.340668,0.137885,0.111610,0.500000
9,-249.323822,-8.236680,1708.438965,5,706.643860,525.909607,7,627.410583,514.275574,0.076073,0.058983,0.500000
10,13694.392578,478.629669,-93817.468750,5,706.643860,525.909607,6,1182.062622,510.340668,-1.190794,49.747379,0.500000
11,-163.137634,-54.325214,1729.545410,4,823.937439,465.316620,4,741.370056,454.614716,0.075102,0.058293,1.000000
12,-515.121033,-147.869064,1935.832153,3,435.402710,363.644104,3,446.010742,361.487000,0.075526,0.067593,1.000000
13,-559.469421,-178.237686,1891.121948,2,368.730255,323.386353,2,377.321991,324.881348,0.049923,0.043880,1.000000
14,-473.787842,-192.642090,1933.138306,1,482.821533,310.802979,1,486.872406,310.421722,0.031447,0.027960,1.000000
15,-512.811096,-223.723892,1890.328003,0,424.049805,268.649719,0,424.950745,272.039368,0.048597,0.042401,1.000000
