# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,13,49.747078,-12.101568,1711.215820,6,1105.109985,520.773315,343,22,20,7,1003.617493,507.411224,352,21,21,0.047422,0.035527,0.333333
0,1,2,-51.066269,-7.523601,1696.062378,9,970.183228,526.777100,352,22,20,10,868.470825,514.036987,349,21,21,0.060868,0.045767,0.333333
0,2,15,-93.001137,-15.868227,1713.007324,5,915.072021,515.776123,336,21,20,6,821.657898,503.410339,338,21,21,0.055673,0.042478,0.500000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,175.679184,69.253174,1914.006714,11,1247.965088,619.369629,12,1206.298340,606.733337,0.006544,0.005390,1.000000
1,-189.166962,31.840117,1757.315063,10,793.624939,578.149231,11,722.082458,564.741943,0.100355,0.079350,1.000000
2,-51.066269,-7.523601,1696.062378,9,970.183228,526.777100,10,868.470825,514.036987,0.060868,0.045767,0.333333
3,-35.435001,-5.442364,1176.904785,9,970.183228,526.777100,9,627.473450,514.356018,-0.780068,0.411650,0.333333
4,-115.348312,-18.827078,3831.531006,9,970.183228,526.777100,8,1182.140381,510.367767,-2.125462,3.558100,0.333333
5,100.256248,-5.787860,1165.722412,8,1234.819702,524.457703,10,868.470825,514.036987,2.303348,1.175851,0.250000
6,77.149223,-4.620860,897.057068,8,1234.819702,524.457703,9,627.473450,514.356018,1.437020,0.570985,0.250000
7,161.294937,-10.197015,1875.473999,8,1234.819702,524.457703,8,1182.140381,510.367767,0.149944,0.121370,0.250000
8,119.992905,-8.743426,1395.157471,8,1234.819702,524.457703,7,1003.617493,507.411224,-3.665660,2.225526,0.250000
9,-452.938995,-14.255948,3104.470459,7,706.726807,525.997375,10,868.470825,514.036987,0.926245,1.290203,0.333333
10,-249.251831,-8.170714,1708.377075,7,706.726807,525.997375,9,627.473450,514.356018,0.075510,0.058544,0.333333
11,13688.017578,476.073273,-93795.468750,7,706.726807,525.997375,8,1182.140381,510.367767,-1.247379,52.134693,0.333333
12,72.741753,-15.601542,2501.470215,6,1105.109985,520.773315,8,1182.140381,510.367767,3.893851,4.229317,0.333333
13,49.747078,-12.101568,1711.215820,6,1105.109985,520.773315,7,1003.617493,507.411224,0.047422,0.035527,0.333333
14,37.475380,-10.515437,1288.766113,6,1105.109985,520.773315,6,821.657898,503.410339,-4.878551,2.776027,0.333333
15,-93.001137,-15.868227,1713.007324,5,915.072021,515.776123,6,821.657898,503.410339,0.055673,0.042478,0.500000
16,-416.020508,-76.887024,7665.657715,5,915.072021,515.776123,5,1253.681885,497.638336,-3.455665,11.568158,0.500000
17,-163.076050,-54.269459,1729.507446,4,824.013306,465.381195,4,741.435486,454.687592,0.088995,0.069074,1.000000
18,-515.063721,-147.861893,1935.728027,3,435.436005,363.648193,3,446.022064,361.476868,0.065131,0.058290,1.000000
19,-559.461731,-178.240891,1891.148315,2,368.747284,323.375732,2,377.350067,324.884827,0.067423,0.059250,1.000000
20,-473.753418,-192.633163,1933.074341,1,482.842285,310.801941,1,486.882416,310.423706,0.038079,0.033848,1.000000
21,-512.769165,-223.719925,1890.251831,0,424.073853,268.640839,0,424.959869,272.031342,0.052654,0.045935,1.000000
