# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,2,-26.566832,15.271615,1700.513550,9,1003.207275,557.365417,331,20,21,10,901.578796,544.244690,369,21,22,0.069648,0.052343,1.000000
0,1,10,68.165268,-8.334998,1730.187012,6,1128.649658,525.887756,315,19,21,8,1032.868042,512.458557,358,21,21,0.101585,0.076760,0.333333
0,2,12,95.330986,-22.979389,1764.292114,5,1162.004517,507.183929,289,18,20,5,1076.515259,493.394867,340,21,21,0.089672,0.068843,1.000000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,175.637253,69.226990,1914.001221,11,1247.915405,619.342834,12,1206.239868,606.700378,-0.002116,0.001748,1.000000
1,-189.217102,31.782656,1757.337769,10,793.563660,578.076233,11,722.025879,564.670044,0.096142,0.076020,1.000000
2,-26.566832,15.271615,1700.513550,9,1003.207275,557.365417,10,901.578796,544.244690,0.069648,0.052343,1.000000
3,77.124962,-4.643327,897.071228,8,1234.754761,524.432861,9,627.423279,514.271851,1.373504,0.545760,0.333333
4,125.250992,-7.494803,1456.837769,8,1234.754761,524.432861,8,1032.868042,512.458557,1.545020,0.978171,0.333333
5,161.243637,-10.222327,1875.496216,8,1234.754761,524.432861,7,1182.074341,510.334320,0.138207,0.111871,0.333333
6,-249.314133,-8.239160,1708.441162,7,706.657166,525.906799,9,627.423279,514.271851,0.075154,0.058270,0.333333
7,-996.250183,-32.702885,6826.873047,7,706.657166,525.906799,8,1032.868042,512.458557,0.221690,0.673885,0.333333
8,13694.621094,478.844818,-93822.671875,7,706.657166,525.906799,7,1182.074341,510.334320,-1.194294,49.898438,0.333333
9,39.069122,-4.808648,991.661926,6,1128.649658,525.887756,9,627.423279,514.271851,-0.042684,0.018841,0.333333
10,68.165268,-8.334998,1730.187012,6,1128.649658,525.887756,8,1032.868042,512.458557,0.101585,0.076760,0.333333
11,92.921516,-12.086864,2358.503174,6,1128.649658,525.887756,7,1182.074341,510.334320,-1.315231,1.345387,0.333333
12,95.330986,-22.979389,1764.292114,5,1162.004517,507.183929,5,1076.515259,493.394867,0.089672,0.068843,1.000000
13,-163.120026,-54.326477,1729.518555,4,823.957275,465.311035,4,741.380249,454.614624,0.080564,0.062531,1.000000
14,-515.092957,-147.873047,1935.780884,3,435.419464,363.636841,3,446.013367,361.476196,0.071723,0.064189,1.000000
15,-559.471924,-178.247849,1891.150146,2,368.737183,323.374725,2,377.334869,324.875092,0.054870,0.048225,1.000000
16,-473.783936,-192.643066,1933.129883,1,482.823608,310.793823,1,486.872589,310.426361,0.044898,0.039904,1.000000
17,-512.791626,-223.717285,1890.277832,0,424.056763,268.653046,0,424.944519,272.037720,0.043713,0.038144,1.000000
