# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,10,60.400425,-50.973446,1718.175781,5,1118.971558,469.255585,311,18,21,5,1019.288635,455.657684,360,21,22,0.052117,0.039136,0.500000
0,1,9,-14.145810,-35.736855,1650.128052,6,1019.283325,487.494904,335,19,22,6,899.787537,474.940796,385,22,22,0.088268,0.064317,0.500000
0,2,6,-59.499538,-33.517944,1642.434814,7,956.241699,490.355377,329,20,21,7,837.048523,478.263885,378,22,22,0.075340,0.054963,0.500000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,175.642441,69.245026,1914.008667,11,1247.920898,619.352295,12,1206.250854,606.732300,0.021777,0.017945,1.000000
1,-189.104050,31.039652,1756.158447,10,793.543396,578.034912,11,721.660339,562.886108,-1.649396,1.303400,1.000000
2,77.132149,-4.635273,897.047852,9,1234.778320,524.466125,10,627.421082,514.277100,1.347592,0.535449,0.500000
3,161.259933,-10.196671,1875.461914,9,1234.778320,524.466125,9,1182.091919,510.361755,0.133557,0.108105,0.500000
4,-249.303711,-8.236785,1708.404663,8,706.663574,525.905396,10,627.421082,514.277100,0.083459,0.064708,0.500000
5,13693.930664,478.259888,-93820.906250,8,706.663574,525.905396,9,1182.091919,510.361755,-1.163828,48.606953,0.500000
6,-59.499538,-33.517944,1642.434814,7,956.241699,490.355377,7,837.048523,478.263885,0.075340,0.054963,0.500000
7,-66.825890,-38.836800,1844.867798,7,956.241699,490.355377,6,899.787537,474.940796,-2.831438,2.313239,0.500000
8,-12.740929,-31.241798,1486.638306,6,1019.283325,487.494904,7,837.048523,478.263885,2.986472,1.966213,0.500000
9,-14.145810,-35.736855,1650.128052,6,1019.283325,487.494904,6,899.787537,474.940796,0.088268,0.064317,0.500000
10,60.400425,-50.973446,1718.175781,5,1118.971558,469.255585,5,1019.288635,455.657684,0.052117,0.039136,0.500000
11,40.161507,-34.695831,1142.287720,5,1118.971558,469.255585,4,741.389648,454.619598,-3.140331,1.588029,0.500000
12,-335.779938,-109.284218,3560.833008,4,823.974609,465.322998,5,1019.288635,455.657684,3.310251,5.221396,0.500000
13,-163.103668,-54.318226,1729.486450,4,823.974609,465.322998,4,741.389648,454.619598,0.075671,0.058733,0.500000
14,-515.111084,-147.865768,1935.835327,3,435.414703,363.651154,3,446.025146,361.485840,0.069602,0.062293,1.000000
15,-559.444824,-178.241074,1891.086182,2,368.746307,323.380066,2,377.330414,324.869629,0.046006,0.040439,1.000000
16,-473.767548,-192.640747,1933.098389,1,482.833221,310.796265,1,486.876740,310.419891,0.037836,0.033633,1.000000
17,-512.793640,-223.722153,1890.299194,0,424.060638,268.647705,0,424.956451,272.034973,0.047945,0.041833,1.000000
