# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,2,-29.342144,2.935849,1699.269287,9,999.457520,540.817688,317,19,21,10,897.520386,527.861450,359,21,22,0.087975,0.066095,0.500000
0,1,5,65.620979,2.082213,1736.648804,8,1124.976074,539.606689,298,18,21,9,1031.374512,526.236389,348,21,21,0.099564,0.075533,0.500000
0,2,6,92.697739,-6.205437,1772.843140,7,1158.027222,528.915344,275,18,20,8,1075.294922,515.267639,321,20,20,0.054377,0.041962,0.333333
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,175.641144,69.219490,1914.029419,11,1247.916992,619.328064,12,1206.249023,606.694763,0.007309,0.006021,1.000000
1,-189.211884,31.778082,1757.342285,10,793.571045,578.072144,11,722.034058,564.662292,0.092357,0.073028,1.000000
2,-29.342144,2.935849,1699.269287,9,999.457520,540.817688,10,897.520386,527.861450,0.087975,0.066095,0.500000
3,-38.572750,3.328503,2233.870361,9,999.457520,540.817688,9,1031.374512,526.236389,-0.993443,0.975076,0.500000
4,52.785873,2.005044,1396.944946,8,1124.976074,539.606689,10,897.520386,527.861450,1.174186,0.721021,0.500000
5,65.620979,2.082213,1736.648804,8,1124.976074,539.606689,9,1031.374512,526.236389,0.099564,0.075533,0.500000
6,92.697739,-6.205437,1772.843140,7,1158.027222,528.915344,8,1075.294922,515.267639,0.054377,0.041962,0.333333
7,50.383419,-4.035533,963.546509,7,1158.027222,528.915344,7,627.430603,514.267273,-3.041885,1.302902,0.333333
8,115.129158,-9.832096,2201.448975,7,1158.027222,528.915344,6,1182.084717,510.317413,-4.405498,4.200902,0.333333
9,133.787277,-6.991225,1555.942505,6,1234.763184,524.425537,8,1075.294922,515.267639,4.566334,3.081681,0.333333
10,77.128265,-4.645687,897.070740,6,1234.763184,524.425537,7,627.430603,514.267273,1.376205,0.546832,0.333333
11,161.251205,-10.232232,1875.503052,6,1234.763184,524.425537,6,1182.084717,510.317413,0.128801,0.104258,0.333333
12,-1433.662109,-40.523956,9826.195312,5,706.665222,525.894287,8,1075.294922,515.267639,3.245290,14.178976,0.333333
13,-249.308090,-8.245626,1708.441284,5,706.665222,525.894287,7,627.430603,514.267273,0.082644,0.064078,0.333333
14,13689.570312,479.286591,-93790.195312,5,706.665222,525.894287,6,1182.084717,510.317413,-1.198785,50.071159,0.333333
15,-163.116547,-54.331192,1729.537109,4,823.964172,465.303589,4,741.392334,454.611145,0.084499,0.065585,1.000000
16,-515.086853,-147.882431,1935.802856,3,435.433319,363.622375,3,446.030762,361.472443,0.082016,0.073398,1.000000
17,-559.460510,-178.251801,1891.149658,2,368.750610,323.371979,2,377.346222,324.868347,0.050968,0.044798,1.000000
18,-473.786713,-192.659164,1933.164551,1,482.830322,310.780914,1,486.886505,310.410156,0.041203,0.036623,1.000000
19,-512.778015,-223.730164,1890.274658,0,424.071960,268.634888,0,424.957031,272.024414,0.047944,0.041831,1.000000
