# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,10,56.924477,-40.541336,1714.162842,5,1114.538696,482.949493,357,21,22,5,1013.679626,469.484772,385,22,23,0.095155,0.071327,1.000000
0,1,9,-37.048130,-18.596081,1680.991455,6,988.579102,511.652710,372,21,22,6,880.984741,499.035461,391,22,22,0.088521,0.065869,0.500000
0,2,7,-81.676331,-14.490476,1691.567505,7,928.758667,517.366028,368,22,21,8,827.676453,504.940979,379,22,22,0.052270,0.039347,1.000000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,-228.764404,226.136963,1200.565430,12,606.580933,964.258850,13,322.599426,929.643005,0.051579,0.028215,1.000000
1,175.637421,69.245331,1914.011353,11,1247.914673,619.354858,12,1206.245239,606.730225,0.017153,0.014133,1.000000
2,-189.219559,31.790945,1757.338135,10,793.560303,578.085938,11,722.026123,564.679871,0.098275,0.077707,1.000000
3,77.128128,-4.631706,897.060059,9,1234.765381,524.476074,10,627.423157,514.285461,1.346044,0.534841,0.500000
4,161.251877,-10.189202,1875.491455,9,1234.765381,524.476074,9,1182.087158,510.370453,0.132071,0.106904,0.500000
5,-249.300461,-8.229963,1708.400757,8,706.667175,525.914917,10,627.423157,514.285461,0.082624,0.064060,0.500000
6,13704.552734,478.259766,-93894.648438,8,706.667175,525.914917,9,1182.087158,510.370453,-1.164582,48.677635,0.500000
7,-81.676331,-14.490476,1691.567505,7,928.758667,517.366028,8,827.676453,504.940979,0.052270,0.039347,1.000000
8,-106.845543,-52.964119,4848.042969,6,988.579102,511.652710,7,1253.633545,497.654022,0.723132,1.525252,0.500000
9,-37.048130,-18.596081,1680.991455,6,988.579102,511.652710,6,880.984741,499.035461,0.088521,0.065869,0.500000
10,56.924477,-40.541336,1714.162842,5,1114.538696,482.949493,5,1013.679626,469.484772,0.095155,0.071327,1.000000
11,-163.109360,-54.315689,1729.495728,4,823.968323,465.322968,4,741.386719,454.626953,0.083005,0.064425,1.000000
12,-515.109436,-147.873886,1935.830322,3,435.415009,363.635529,3,446.024414,361.481781,0.080403,0.071956,1.000000
13,-559.455750,-178.236496,1891.118896,2,368.744720,323.382446,2,377.337280,324.884552,0.058855,0.051724,1.000000
14,-473.783478,-192.644226,1933.128418,1,482.823273,310.799194,1,486.874847,310.416168,0.031181,0.027724,1.000000
15,-512.811096,-223.718735,1890.328979,0,424.049469,268.655457,0,424.953979,272.043518,0.049035,0.042783,1.000000
