frame_idx,fid3d_idx,pos_x_mm,pos_y_mm,pos_z_mm,leftIndex,rightIndex,epipolarError_pixels,triangulationError_mm,probability,status_bits
4,14,-511.515411,-223.914932,1890.516357,0,0,0.080140,0.069887,1.000000,0
5,0,177.146500,68.817902,1914.070435,11,12,0.006322,0.005206,1.000000,0
5,1,-188.095520,31.612986,1757.442871,10,11,0.104296,0.082461,1.000000,0
5,2,92.750435,22.659782,1742.942627,9,10,0.118406,0.089844,1.000000,0
5,3,69.577461,8.500031,1705.883057,8,9,0.106520,0.079362,1.000000,0
5,4,77.766563,-4.775048,896.996094,7,8,1.595848,0.633945,0.500000,64
5,5,162.602280,-10.585461,1875.540649,7,7,0.152026,0.123037,0.500000,0
5,6,-248.206589,-8.425122,1708.641479,6,8,0.109892,0.085201,0.500000,0
5,7,13345.834961,483.047913,-91845.773438,6,7,-1.373030,56.256062,0.500000,96
5,8,-18.043669,-28.236542,1668.610229,5,5,0.101705,0.074955,1.000000,0
5,9,-161.992188,-54.484421,1729.689819,4,4,0.123272,0.095670,1.000000,0
5,10,-513.839966,-148.075089,1936.074951,3,3,0.099669,0.089189,1.000000,0
5,11,-558.244873,-178.450928,1891.479614,2,2,0.072120,0.063377,1.000000,0
5,12,-472.499084,-192.842194,1933.346802,1,1,0.058040,0.051570,1.000000,0
5,13,-511.510529,-223.908844,1890.487549,0,0,0.087942,0.076686,1.000000,0
6,0,177.146210,68.817268,1914.043579,10,12,0.016031,0.013207,1.000000,0
6,1,-188.092651,31.606794,1757.430054,9,11,0.102978,0.081418,1.000000,0
6,2,83.496025,3.461777,1723.659668,8,10,0.091341,0.068634,1.000000,0
6,3,56.706577,-1.508627,1686.575684,7,9,0.095456,0.070442,1.000000,0
6,4,-248.209198,-8.426487,1708.655640,6,8,0.107765,0.083552,0.500000,0
6,5,13343.497070,482.990540,-91829.476562,6,7,-1.373182,56.252216,0.500000,96
6,6,-110.099716,-56.916473,4910.233398,5,6,2.569466,5.489144,0.500000,64
6,7,-37.025024,-20.021486,1650.716064,5,5,0.096519,0.070564,0.500000,0
6,8,-161.998398,-54.488861,1729.711792,4,4,0.120869,0.093806,1.000000,0
6,9,-513.835876,-148.075867,1936.075317,3,3,0.102222,0.091472,1.000000,0
6,10,-558.255188,-178.453293,1891.497803,2,2,0.093738,0.082364,1.000000,0
6,11,-472.516907,-192.853165,1933.411987,1,1,0.070045,0.062231,1.000000,0
6,12,-511.516998,-223.912933,1890.492432,0,0,0.079717,0.069518,1.000000,0
7,0,177.146301,68.807945,1914.086548,10,12,0.027451,0.022618,1.000000,0
7,1,-188.087616,31.598352,1757.423950,9,11,0.104719,0.082794,1.000000,0
7,2,83.305855,6.572913,1717.083496,8,10,0.100002,0.074861,0.500000,0
7,3,76.588432,4.650154,1578.483032,8,9,-3.936989,2.715605,0.500000,0
7,4,58.365868,5.457333,1840.826660,7,10,4.146149,3.333515,0.500000,0
7,5,53.327785,3.501120,1682.361694,7,9,0.099919,0.073585,0.500000,0
7,6,-248.207504,-8.435334,1708.646362,6,8,0.107723,0.083520,0.500000,0
7,7,13347.908203,483.488678,-91860.218750,6,7,-1.366248,55.982040,0.500000,96
7,8,-97.986015,-24.051340,3727.186279,5,7,3.951956,6.432806,0.500000,64
7,9,-43.509041,-12.062995,1654.153687,5,6,0.105039,0.077014,0.500000,0
7,10,-162.000336,-54.496918,1729.716797,4,4,0.117147,0.090918,1.000000,0
7,11,-513.825623,-148.084229,1936.048462,3,3,0.093892,0.084019,1.000000,0
7,12,-558.248840,-178.469254,1891.497437,2,2,0.087587,0.076962,1.000000,0
7,13,-472.507660,-192.856918,1933.374512,1,1,0.067073,0.059591,1.000000,0
7,14,-511.504089,-223.923737,1890.478516,0,0,0.085878,0.074887,1.000000,0
8,0,177.178406,68.814117,1914.081787,10,12,0.011522,0.009491,1.000000,0
8,1,-188.058197,31.602219,1757.438110,9,11,0.105828,0.083671,1.000000,0
8,2,95.262840,2.944399,1729.957031,8,10,0.095310,0.071771,1.000000,0
8,3,68.875015,-5.395356,1693.257324,7,9,0.094066,0.069581,0.500000,0
8,4,40.287392,-4.043515,990.363831,7,8,-3.936528,1.734990,0.500000,0
8,5,-918.944824,-25.428017,6328.046875,6,9,4.216019,11.887956,0.333333,64
8,6,-248.172882,-8.427668,1708.645508,6,8,0.109640,0.085005,0.333333,0
8,7,13352.071289,483.498383,-91901.312500,6,7,-1.374403,56.347801,0.333333,96
8,8,-23.854139,-29.871529,1658.350342,5,5,0.071171,0.052176,1.000000,0
8,9,-161.878220,-54.346119,1728.739868,4,4,0.421691,0.327078,1.000000,0
8,10,-513.791077,-148.086838,1936.053833,3,3,0.105500,0.094404,1.000000,0
8,11,-558.200623,-178.457947,1891.466187,2,2,0.083437,0.073315,1.000000,0
8,12,-472.470123,-192.850113,1933.370361,1,1,0.070989,0.063067,1.000000,0
8,13,-511.494781,-223.919342,1890.536621,0,0,0.080042,0.069803,1.000000,0
9,0,177.143784,68.817215,1914.070801,11,12,0.016183,0.013332,1.000000,0
9,1,-188.093964,31.608515,1757.434814,10,11,0.104736,0.082808,1.000000,0
9,2,-47.245522,-1.148018,1651.951904,9,10,0.121440,0.088968,0.500000,0
9,3,-62.347450,-3.788183,2180.749512,9,9,-4.608240,4.428123,0.500000,0
9,4,40.672653,-2.392389,1349.570557,8,10,4.819961,2.867086,0.333333,0
9,5,50.637447,-4.719991,1680.644653,8,9,0.120848,0.088939,0.333333,0
9,6,30.571550,-3.950508,1014.494568,8,8,-4.754677,2.149047,0.333333,0
9,7,77.767174,-4.778050,896.988770,7,8,1.616322,0.642073,0.333333,64
9,8,162.602936,-10.590223,1875.518311,7,7,0.176676,0.142985,0.333333,0
9,9,128.305267,-9.350656,1479.864990,7,6,-2.919262,1.876187,0.333333,0
9,10,-248.206696,-8.423132,1708.630493,6,8,0.110061,0.085331,0.333333,0
9,11,13348.181641,482.952301,-91861.429688,6,7,-1.369220,56.106831,0.333333,96
9,12,-1071.746460,-43.878361,7379.509766,6,6,-4.455254,14.638284,0.333333,64
9,13,45.857204,-5.838572,976.425476,5,8,4.594475,1.995136,0.333333,0
9,14,106.728714,-14.318417,2272.520264,5,7,3.233195,3.183931,0.333333,0
9,15,80.527145,-11.961742,1714.811890,5,6,0.117675,0.088005,0.333333,0
9,16,-161.998993,-54.488216,1729.688354,4,4,0.115428,0.089583,1.000000,0
9,17,-513.818176,-148.068481,1936.036621,3,3,0.101738,0.091038,1.000000,0
9,18,-558.238098,-178.445679,1891.469116,2,2,0.087660,0.077024,1.000000,0
9,19,-472.510559,-192.836716,1933.374878,1,1,0.064632,0.057424,1.000000,0
9,20,-511.520721,-223.912781,1890.518677,0,0,0.074401,0.064886,1.000000,0
10,0,177.141571,68.808182,1914.064941,10,12,0.014700,0.012110,1.000000,0
10,1,-188.096558,31.610319,1757.448608,9,11,0.107311,0.084845,1.000000,0
10,2,-248.208099,-8.422503,1708.630127,8,10,0.106271,0.082393,0.500000,0
10,3,13344.536133,482.935486,-91835.367188,8,9,-1.380690,56.569233,0.500000,96
10,4,-41.437801,-14.500108,1642.553345,7,8,0.099507,0.072443,1.000000,0
10,5,98.931992,-33.151928,2992.493652,6,7,0.304776,0.394467,0.500000,64
10,6,55.362221,-18.620098,1674.597046,6,6,0.114809,0.084142,0.500000,0
10,7,83.955315,-23.954268,1710.284912,5,5,0.085182,0.063509,1.000000,0
10,8,-161.994461,-54.487030,1729.673950,4,4,0.125203,0.097168,1.000000,0
10,9,-513.830139,-148.063644,1936.023315,3,3,0.114340,0.102310,1.000000,0
10,10,-558.254028,-178.447479,1891.488525,2,2,0.086025,0.075589,1.000000,0
10,11,-472.506073,-192.840424,1933.344727,1,1,0.069218,0.061494,1.000000,0
10,12,-511.531372,-223.909027,1890.512695,0,0,0.070155,0.061186,1.000000,0
11,0,177.142242,68.826874,1914.086670,11,12,0.001914,0.001574,1.000000,0
11,1,-188.099503,31.617990,1757.458984,10,11,0.107584,0.085061,1.000000,0
11,2,77.764915,-4.774061,896.994568,9,10,1.617495,0.642544,0.500000,64
11,3,162.598816,-10.586320,1875.537354,9,9,0.167018,0.135171,0.500000,0
11,4,-248.200012,-8.415393,1708.614136,8,10,0.111711,0.086610,0.500000,0
11,5,13354.219727,482.985962,-91904.210938,8,9,-1.378387,56.516228,0.500000,96
11,6,-126.469521,-58.707863,5060.195801,7,8,2.628044,5.787364,0.500000,64
11,7,-41.060078,-19.947245,1642.352783,7,7,0.127297,0.092656,0.500000,0
11,8,56.065353,-28.309460,1672.540283,6,6,0.135705,0.099320,1.000000,0
11,9,85.049065,-36.484867,1707.288696,5,5,0.100384,0.074694,1.000000,0
11,10,-161.995148,-54.478577,1729.681885,4,4,0.126780,0.098392,1.000000,0
11,11,-513.836426,-148.055161,1936.054199,3,3,0.095524,0.085479,1.000000,0
11,12,-558.248413,-178.435669,1891.475708,2,2,0.093035,0.081746,1.000000,0
11,13,-472.511047,-192.828766,1933.356689,1,1,0.065408,0.058113,1.000000,0
11,14,-511.529358,-223.905930,1890.515503,0,0,0.077262,0.067380,1.000000,0
12,0,177.155960,68.809113,1914.062134,11,12,0.014056,0.011580,1.000000,0
12,1,-188.088211,31.608168,1757.456787,10,11,0.107964,0.085361,1.000000,0
