# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,8,-20.560492,-36.804905,1699.278931,5,1011.241394,487.491364,318,19,21,5,908.712646,474.851898,365,21,22,0.083927,0.062971,1.000000
0,1,7,70.606361,-29.448647,1744.570557,6,1131.099365,498.379791,302,18,21,6,1039.847900,484.762604,348,20,22,0.109292,0.083221,0.500000
0,2,4,93.990448,-28.441153,1784.171875,7,1158.922729,500.536041,276,17,21,7,1079.627441,486.642761,326,20,21,0.086697,0.067305,0.500000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,177.149094,68.797783,1914.065796,10,1249.711060,618.822510,12,1208.152588,606.162231,0.014080,0.011599,1.000000
1,-188.095490,31.629385,1757.494873,9,795.030762,577.865906,11,723.502563,564.448914,0.114673,0.090668,1.000000
2,-248.213791,-8.400165,1708.674561,8,708.155640,525.676819,10,628.929260,514.039429,0.107011,0.082968,0.500000
3,13332.483398,482.270966,-91750.820312,8,708.155640,525.676819,9,1183.819946,509.831329,-1.428817,58.524647,0.500000
4,93.990448,-28.441153,1784.171875,7,1158.922729,500.536041,7,1079.627441,486.642761,0.086697,0.067305,0.500000
5,87.563942,-27.261889,1662.106567,7,1158.922729,500.536041,6,1039.847900,484.762604,-2.029290,1.470231,0.500000
6,76.076576,-30.861088,1879.668335,6,1131.099365,498.379791,7,1079.627441,486.642761,2.229228,1.825493,0.500000
7,70.606361,-29.448647,1744.570557,6,1131.099365,498.379791,6,1039.847900,484.762604,0.109292,0.083221,0.500000
8,-20.560492,-36.804905,1699.278931,5,1011.241394,487.491364,5,908.712646,474.851898,0.083927,0.062971,1.000000
9,-162.010040,-54.476521,1729.747437,4,825.440552,465.101105,4,742.901794,454.397278,0.118133,0.091685,1.000000
10,-513.842224,-148.058243,1936.078613,3,436.949829,363.425751,3,447.500092,361.237000,0.095461,0.085424,1.000000
11,-558.222900,-178.430725,1891.429077,2,370.300537,323.154449,2,378.831146,324.641418,0.097122,0.085333,1.000000
12,-472.528656,-192.833145,1933.418213,1,484.355011,310.583466,1,488.369324,310.176575,0.064936,0.057695,1.000000
13,-511.534241,-223.898041,1890.545166,0,425.623077,268.442780,0,426.453644,271.798767,0.079347,0.069198,1.000000
