# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,7,49.819462,-18.625563,1719.162598,7,1104.899292,512.179199,358,22,21,7,1005.969177,498.822693,385,22,22,0.078943,0.059408,0.500000
0,1,8,-46.515137,-23.075531,1685.756470,6,975.919128,505.665558,378,22,22,6,870.470337,493.175842,394,23,22,0.089105,0.066562,1.000000
0,2,9,-90.764130,-29.947060,1696.661255,5,916.886963,496.649353,370,22,22,5,818.056885,484.623810,376,22,22,0.068544,0.051799,1.000000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,175.645004,69.242233,1914.005371,11,1247.924316,619.356567,12,1206.253418,606.721558,0.006630,0.005460,1.000000
1,-189.219009,31.788744,1757.339233,10,793.561157,578.088684,11,722.027222,564.671570,0.087221,0.068967,1.000000
2,77.130890,-4.628611,897.055115,9,1234.773560,524.500671,10,627.424866,514.276550,1.312811,0.521633,0.500000
3,161.256699,-10.181189,1875.469604,9,1234.773560,524.500671,9,1182.089233,510.364990,0.101612,0.082249,0.500000
4,-249.303177,-8.234870,1708.411133,8,706.665588,525.911133,10,627.424866,514.276550,0.077374,0.059991,0.500000
5,13699.181641,478.260864,-93857.343750,8,706.665588,525.911133,9,1182.089233,510.364990,-1.166320,48.731659,0.500000
6,88.819679,-33.112606,3064.975098,7,1104.899292,512.179199,8,1253.639038,497.641785,0.221004,0.293128,0.500000
7,49.819462,-18.625563,1719.162598,7,1104.899292,512.179199,7,1005.969177,498.822693,0.078943,0.059408,0.500000
8,-46.515137,-23.075531,1685.756470,6,975.919128,505.665558,6,870.470337,493.175842,0.089105,0.066562,1.000000
9,-90.764130,-29.947060,1696.661255,5,916.886963,496.649353,5,818.056885,484.623810,0.068544,0.051799,1.000000
10,-163.112045,-54.317799,1729.519653,4,823.967712,465.320374,4,741.393494,454.625946,0.084599,0.065663,1.000000
11,-515.098572,-147.872375,1935.796875,3,435.417267,363.634491,3,446.018616,361.480530,0.080051,0.071640,1.000000
12,-559.475403,-178.245667,1891.164307,2,368.737366,323.379517,2,377.341675,324.876312,0.053380,0.046917,1.000000
13,-473.778442,-192.644684,1933.124390,1,482.827850,310.785980,1,486.878479,310.426697,0.054522,0.048449,1.000000
14,-512.794739,-223.724380,1890.307983,0,424.062225,268.647705,0,424.959900,272.032196,0.045222,0.039459,1.000000
