# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,1,39.126381,78.521347,1686.871582,11,1091.703491,642.998413,341,20,22,12,982.897217,629.794678,387,22,23,0.099245,0.073336,1.000000
0,1,9,63.600323,-19.825272,1675.008057,6,1125.395264,509.888184,338,19,22,6,1011.310364,496.505005,389,22,23,0.094926,0.069517,0.500000
0,2,11,62.019932,-62.320618,1692.488037,4,1122.365967,452.953094,320,19,22,4,1014.073914,439.323547,370,22,22,0.039644,0.029323,1.000000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,-231.180115,229.609222,1209.022095,12,605.094666,967.767395,13,326.363617,933.009644,0.043573,0.023999,1.000000
1,39.126381,78.521347,1686.871582,11,1091.703491,642.998413,12,982.897217,629.794678,0.099245,0.073336,1.000000
2,175.638397,69.243088,1914.055054,10,1247.910889,619.353149,11,1206.249756,606.724121,0.011126,0.009166,1.000000
3,-189.212021,31.787846,1757.312866,9,793.566772,578.087402,10,722.021362,564.673462,0.088665,0.070107,1.000000
4,77.130966,-4.637486,897.058960,8,1234.772583,524.454224,9,627.425781,514.279724,1.360249,0.540485,0.500000
5,161.256073,-10.201913,1875.469238,8,1234.772583,524.454224,8,1182.084961,510.362640,0.144830,0.117230,0.500000
6,-249.313873,-8.234824,1708.445557,7,706.658386,525.910217,9,627.425781,514.279724,0.079752,0.061835,0.500000
7,13690.001953,478.030884,-93792.234375,7,706.658386,525.910217,8,1182.084961,510.362640,-1.169348,48.825630,0.500000
8,109.297379,-32.535732,2878.225098,6,1125.395264,509.888184,7,1253.635010,497.646149,2.556132,3.180770,0.500000
9,63.600323,-19.825272,1675.008057,6,1125.395264,509.888184,6,1011.310364,496.505005,0.094926,0.069517,0.500000
10,-163.112076,-54.317371,1729.521484,5,823.968140,465.326172,5,741.391174,454.623383,0.074659,0.057949,1.000000
11,62.019932,-62.320618,1692.488037,4,1122.365967,452.953094,4,1014.073914,439.323547,0.039644,0.029323,1.000000
12,-515.110901,-147.870895,1935.834473,3,435.415161,363.642517,3,446.022156,361.484589,0.074854,0.066991,1.000000
13,-559.444641,-178.234238,1891.087524,2,368.747559,323.384460,2,377.328766,324.883301,0.053898,0.047370,1.000000
14,-473.785217,-192.647156,1933.154663,1,482.829224,310.795654,1,486.883148,310.420746,0.037712,0.033523,1.000000
15,-512.795593,-223.723694,1890.307983,0,424.061768,268.648376,0,424.956238,272.035400,0.046073,0.040201,1.000000
