# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,2,-31.684574,16.691853,1698.482178,9,996.295105,559.284424,312,20,20,10,894.301086,546.182251,341,21,20,0.093404,0.070158,1.000000
0,1,3,66.536575,10.575579,1725.594482,8,1126.736938,550.849426,287,20,19,9,1029.595093,537.527588,331,21,20,0.094385,0.071147,1.000000
0,2,4,97.070450,-4.086126,1756.690796,7,1164.794922,531.591309,267,19,19,8,1076.990845,517.962830,309,20,20,0.057032,0.043593,1.000000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,175.640656,69.214294,1914.024658,11,1247.916748,619.310669,12,1206.247681,606.700317,0.030588,0.025207,1.000000
1,-189.217056,31.784525,1757.343140,10,793.564453,578.082642,11,722.028198,564.668274,0.088089,0.069653,1.000000
2,-31.684574,16.691853,1698.482178,9,996.295105,559.284424,10,894.301086,546.182251,0.093404,0.070158,1.000000
3,66.536575,10.575579,1725.594482,8,1126.736938,550.849426,9,1029.595093,537.527588,0.094385,0.071147,1.000000
4,97.070450,-4.086126,1756.690796,7,1164.794922,531.591309,8,1076.990845,517.962830,0.057032,0.043593,1.000000
5,77.128090,-4.642181,897.070374,6,1234.762817,524.432129,7,627.429871,514.278320,1.380701,0.548618,0.500000
6,161.251602,-10.226481,1875.511108,6,1234.762817,524.432129,6,1182.086548,510.324951,0.129628,0.104928,0.500000
7,-249.312485,-8.233766,1708.450684,5,706.661194,525.914551,7,627.429871,514.278320,0.074069,0.057430,0.500000
8,13678.008789,478.299255,-93709.429688,5,706.661194,525.914551,6,1182.086548,510.324951,-1.211372,50.560432,0.500000
9,-163.116653,-54.325314,1729.529053,4,823.963013,465.314606,4,741.388794,454.614899,0.077460,0.060123,1.000000
10,-515.104736,-147.874680,1935.816406,3,435.416779,363.635773,3,446.019379,361.479553,0.076163,0.068163,1.000000
11,-559.464111,-178.241135,1891.130737,2,368.739716,323.384155,2,377.332245,324.877258,0.048114,0.042291,1.000000
12,-473.792786,-192.652237,1933.166992,1,482.823944,310.792572,1,486.881317,310.415192,0.034976,0.031094,1.000000
13,-512.828247,-223.729324,1890.379639,0,424.046112,268.654022,0,424.959869,272.036652,0.041923,0.036586,1.000000
