# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,18,56.852448,-18.210102,1728.753540,5,1113.807007,512.857117,349,21,21,6,1017.795898,499.448303,368,22,21,0.094037,0.071093,0.500000
0,1,2,-40.880699,-5.011055,1702.497803,10,984.080933,530.170959,365,22,21,10,883.834290,517.347412,373,22,21,0.079097,0.059618,0.333333
0,2,6,-84.924446,-6.887807,1715.729004,9,925.993408,527.729492,354,22,21,9,832.877502,515.148743,358,22,21,0.079946,0.061033,0.250000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,175.690323,69.243698,1914.025879,12,1247.976196,619.351685,12,1206.314819,606.726990,0.018423,0.015181,1.000000
1,-189.159073,31.828672,1757.323486,11,793.636292,578.137451,11,722.095398,564.724060,0.093909,0.074254,1.000000
2,-40.880699,-5.011055,1702.497803,10,984.080933,530.170959,10,883.834290,517.347412,0.079097,0.059618,0.333333
3,-37.421509,-5.429286,1558.549805,10,984.080933,530.170959,9,832.877502,515.148743,-2.355639,1.629267,0.333333
4,-27.799709,-4.496960,1157.933838,10,984.080933,530.170959,8,627.485962,514.343933,-4.118410,2.136965,0.333333
5,-93.656059,-6.571549,1892.253052,9,925.993408,527.729492,10,883.834290,517.347412,2.520508,2.117157,0.250000
6,-84.924446,-6.887807,1715.729004,9,925.993408,527.729492,9,832.877502,515.148743,0.079946,0.061033,0.250000
7,-61.455418,-5.482451,1241.600098,9,925.993408,527.729492,8,627.485962,514.343933,-1.706376,0.951903,0.250000
8,-229.588608,-21.817917,4639.270996,9,925.993408,527.729492,7,1182.151123,510.367981,-3.063502,6.222617,0.250000
9,96.060043,-5.308910,1116.892578,8,1234.823730,524.480774,9,832.877502,515.148743,3.218794,1.576992,0.333333
10,77.151474,-4.618749,897.064819,8,1234.823730,524.480774,8,627.485962,514.343933,1.402120,0.557122,0.333333
11,161.300323,-10.187534,1875.497803,8,1234.823730,524.480774,7,1182.151123,510.367981,0.126759,0.102604,0.333333
12,-477.248688,-12.553221,3271.481201,7,706.732605,525.979309,10,883.834290,517.347412,4.329576,6.351419,0.250000
13,-404.648071,-12.160039,2773.567383,7,706.732605,525.979309,9,832.877502,515.148743,1.884698,2.349392,0.250000
14,-249.250931,-8.182260,1708.400757,7,706.732605,525.979309,8,627.485962,514.343933,0.080924,0.062742,0.250000
15,13687.132812,476.419800,-93791.695312,7,706.732605,525.979309,7,1182.151123,510.367981,-1.229189,51.360619,0.250000
16,142.883026,-14.164550,1329.976440,6,1283.582764,512.292847,6,1017.795898,499.448303,0.738681,0.426246,0.500000
17,210.340195,-21.092402,1957.877197,6,1283.582764,512.292847,5,1253.692505,497.625153,0.174207,0.146379,0.500000
18,56.852448,-18.210102,1728.753540,5,1113.807007,512.857117,6,1017.795898,499.448303,0.094037,0.071093,0.500000
19,98.049683,-31.774778,2981.446777,5,1113.807007,512.857117,5,1253.692505,497.625153,-0.477508,0.615817,0.500000
20,-163.063477,-54.275826,1729.502563,4,824.029236,465.375763,4,741.448792,454.675995,0.082829,0.064288,1.000000
21,-515.068604,-147.870850,1935.755981,3,435.438934,363.633179,3,446.031342,361.475830,0.078544,0.070289,1.000000
22,-559.429260,-178.240677,1891.093140,2,368.766388,323.372559,2,377.353149,324.876312,0.062025,0.054508,1.000000
23,-473.733459,-192.644852,1933.056763,1,482.860443,310.775879,1,486.894714,310.418091,0.057648,0.051223,1.000000
24,-512.786743,-223.732254,1890.329224,0,424.077911,268.637665,0,424.982117,272.026672,0.051445,0.044883,1.000000
