# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,10,70.648399,-18.381771,1751.365112,5,1130.795166,512.935913,328,20,20,6,1041.671753,499.410431,361,21,21,0.111862,0.085513,0.500000
0,1,3,-18.508440,7.064158,1708.723511,9,1014.130676,546.290283,350,21,21,9,914.700439,533.267212,376,22,22,0.117769,0.088839,1.000000
0,2,2,-64.025368,11.319542,1714.148804,10,953.674744,551.925720,341,21,21,10,858.696655,538.959106,367,22,22,0.105365,0.080165,1.000000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,175.671234,69.246674,1914.016968,12,1247.954468,619.358337,12,1206.290405,606.728149,0.012932,0.010655,1.000000
1,-189.182571,31.828625,1757.346069,11,793.609009,578.138367,11,722.076843,564.721985,0.090983,0.071941,1.000000
2,-64.025368,11.319542,1714.148804,10,953.674744,551.925720,10,858.696655,538.959106,0.105365,0.080165,1.000000
3,-18.508440,7.064158,1708.723511,9,1014.130676,546.290283,9,914.700439,533.267212,0.117769,0.088839,1.000000
4,77.146263,-4.622915,897.054565,8,1234.812744,524.457520,8,627.464050,514.345886,1.426976,0.566993,0.500000
5,161.287216,-10.202923,1875.450928,8,1234.812744,524.457520,7,1182.126953,510.353088,0.135415,0.109608,0.500000
6,-249.283051,-8.179886,1708.435425,7,706.696655,525.984192,8,627.464050,514.345886,0.078007,0.060482,0.500000
7,13667.113281,475.877655,-93643.664062,7,706.696655,525.984192,7,1182.126953,510.353088,-1.249037,52.119381,0.500000
8,147.713089,-14.619151,1375.067627,6,1283.559204,512.288391,6,1041.671753,499.410431,0.834535,0.497332,0.500000
9,210.322372,-21.091171,1957.900024,6,1283.559204,512.288391,5,1253.674438,497.633331,0.186831,0.156988,0.500000
10,70.648399,-18.381771,1751.365112,5,1130.795166,512.935913,6,1041.671753,499.410431,0.111862,0.085513,0.500000
11,114.289749,-30.138090,2833.208740,5,1130.795166,512.935913,5,1253.674438,497.633331,-0.542958,0.664887,0.500000
12,-163.083191,-54.276257,1729.508179,4,824.004028,465.375000,4,741.427063,454.676331,0.083678,0.064947,1.000000
13,-515.098389,-147.865891,1935.794067,3,435.416046,363.645477,3,446.020081,361.481964,0.072746,0.065104,1.000000
14,-559.438110,-178.236465,1891.078247,2,368.750763,323.377686,2,377.335968,324.878296,0.058751,0.051632,1.000000
15,-473.759735,-192.639938,1933.074463,1,482.835022,310.802917,1,486.875641,310.407928,0.021126,0.018795,1.000000
16,-512.791077,-223.721069,1890.286377,0,424.059113,268.653107,0,424.954956,272.026703,0.036092,0.031502,1.000000
