frame_idx,fid3d_idx,pos3d_x_mm,pos3d_y_mm,pos3d_z_mm,reproj_left_x,reproj_left_y,reproj_right_x,reproj_right_y
0,0,175.632629,69.226685,1914.077271,1247.901611,619.338135,1206.246338,606.697632
0,1,-189.215469,31.780956,1757.332642,793.565125,578.123413,722.025574,564.620056
0,2,-23.857601,11.424357,1700.575928,1006.840820,552.241150,905.064575,539.085327
0,3,71.217407,-2.899668,1734.761597,1132.423218,533.111328,1038.072510,519.590454
0,4,77.127190,-4.643301,897.062439,1234.763062,525.126099,627.415405,513.586853
0,5,161.247101,-10.224490,1875.464111,1234.762329,524.497986,1182.072632,510.262360
0,6,-249.319702,-8.236421,1708.448730,706.651245,525.949280,627.420044,514.237976
0,7,13687.077148,478.536896,-93769.125000,706.578003,525.306519,1182.147461,510.931824
0,8,98.065407,-14.170225,1770.403809,1165.099731,518.674988,1081.517822,504.861816
0,9,-163.118103,-54.327072,1729.511353,823.958923,465.351166,741.379089,454.573334
0,10,-515.100220,-147.877182,1935.815430,435.422150,363.672760,446.022369,361.438751
0,11,-559.455322,-178.249313,1891.115234,368.745087,323.398010,377.331909,324.842468
0,12,-473.768188,-192.640991,1933.095337,482.832336,310.815674,486.871155,310.402466
0,13,-512.792358,-223.719482,1890.290649,424.060394,268.675201,424.949524,272.015106
1,0,175.635010,69.224579,1914.022461,1247.910400,619.338013,1206.240479,606.697571
1,1,-189.217255,31.785789,1757.336060,793.563293,578.129639,722.024963,564.626038
1,2,-24.653919,13.298511,1700.065308,1005.763306,554.759521,903.873230,541.586487
1,3,70.154816,-5.627879,1732.722046,1131.135498,529.516785,1036.139404,515.987427
1,4,40.053761,-4.017675,989.203247,1131.141724,527.661865,627.419983,516.058838
1,5,94.936195,-10.164848,2344.063965,1131.163940,527.035095,1182.054321,512.809937
1,6,77.126152,-4.639614,897.061462,1234.760620,525.135498,627.412048,513.596130
1,7,161.245789,-10.213048,1875.471680,1234.759888,524.511963,1182.072388,510.276550
1,8,-1019.306946,-27.865156,6986.021484,706.711731,527.843994,1036.077515,514.133057
1,9,-249.312729,-8.231570,1708.424316,706.655823,525.955627,627.416626,514.244080
1,10,13694.476562,478.348877,-93821.234375,706.583008,525.317505,1182.146729,510.942749
1,11,141.648346,-27.594770,2583.432861,1163.818604,512.570740,1253.627441,497.795410
