frame_idx,detection_idx,centerX_pixels,centerY_pixels,pixelsCount,width,height,status_bits
10,10,1249.701904,618.834473,121,9,17,0
11,0,425.620544,268.430786,170,15,15,0
11,1,484.359009,310.581635,166,14,15,0
11,2,370.287872,323.156433,169,15,15,0
11,3,436.950134,363.427490,156,14,13,0
11,4,825.452515,465.091400,330,21,20,0
11,5,1152.392212,488.150818,313,19,21,0
11,6,1115.254639,498.260529,341,20,22,0
11,7,981.827087,509.163452,354,20,22,0
11,8,708.162903,525.653748,340,21,21,0
11,9,1236.399658,523.976501,122,9,17,0
11,10,795.020996,577.855530,322,20,20,0
11,11,1249.700317,618.862061,120,9,16,0
12,0,425.640656,268.420471,170,15,15,0
12,1,484.389160,310.569977,169,15,15,0
12,2,370.299927,323.150574,169,15,15,0
12,3,436.962341,363.410431,155,14,13,0
12,4,825.468628,465.080597,329,21,20,0
12,5,1169.646240,502.598022,306,19,21,0
12,6,1134.434570,509.788177,326,19,22,0
12,7,1003.570862,511.992676,344,20,22,0
12,8,708.174194,525.645935,339,21,21,0
12,9,1236.411499,523.974182,123,9,17,0
12,10,795.035339,577.842651,321,20,20,0
12,11,1249.719238,618.835999,120,9,17,0
13,0,425.641815,268.421173,169,15,15,0
13,1,484.382690,310.572998,167,15,15,0
13,2,370.313171,323.147797,170,15,15,0
13,3,436.971191,363.407227,155,14,13,0
13,4,825.464905,465.083923,329,21,20,0
13,5,708.169312,525.650269,339,21,21,0
13,6,1236.423340,523.983643,123,9,17,0
13,7,1026.859253,534.060913,335,20,22,0
13,8,1149.965576,565.007446,312,20,20,0
13,9,1182.002319,565.632446,281,19,19,0
13,10,795.037781,577.844116,323,20,20,0
13,11,1249.723022,618.840027,119,9,16,0
14,0,425.655670,268.424072,169,15,15,0
14,1,484.390137,310.563538,170,15,15,0
14,2,370.316284,323.137207,170,15,15,0
14,3,436.995331,363.405090,155,14,13,0
14,4,825.475647,465.083313,329,21,20,0
14,5,708.180359,525.645142,341,21,21,0
14,6,1236.426758,523.993286,122,9,17,0
14,7,1037.725952,539.373108,343,20,22,0
14,8,795.049927,577.850708,323,20,20,0
14,9,1149.808472,599.573242,322,20,21,0
14,10,1176.930054,615.184082,293,18,20,0
14,11,1249.726318,618.851624,121,9,17,0
15,0,425.639923,268.411499,170,15,15,0
15,1,484.372101,310.558289,169,15,15,0
15,2,370.299469,323.137207,169,15,15,0
15,3,436.960083,363.400452,155,14,13,0
15,4,825.458313,465.077484,330,21,20,0
15,5,708.166687,525.645203,340,21,21,0
15,6,1014.227966,553.165710,339,20,22,0
