# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,6,-25.569502,-18.043736,1653.559814,7,1003.570862,511.992676,344,20,22,8,886.077148,499.313232,388,22,23,0.092744,0.067821,0.333333
0,1,11,70.753288,-20.038837,1687.213501,6,1134.434570,509.788177,326,19,22,6,1024.401001,496.309479,371,21,22,0.108309,0.079811,0.333333
0,2,12,98.886070,-25.903288,1723.167725,5,1169.646240,502.598022,306,19,21,5,1071.049316,488.784393,348,20,21,0.107942,0.080925,1.000000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,177.155960,68.809113,1914.062134,11,1249.719238,618.835999,12,1208.154663,606.177979,0.014056,0.011580,1.000000
1,-188.088211,31.608168,1757.456787,10,795.035339,577.842651,11,723.490479,564.421753,0.107964,0.085361,1.000000
2,77.769867,-4.776422,896.997620,9,1236.411499,523.974182,10,628.926758,514.014587,1.610273,0.639676,0.500000
3,162.611084,-10.592186,1875.565796,9,1236.411499,523.974182,9,1183.837036,509.848694,0.157618,0.127565,0.500000
4,-248.193542,-8.422086,1708.628052,8,708.174194,525.645935,10,628.926758,514.014587,0.109774,0.085109,0.500000
5,13341.343750,482.932373,-91818.609375,8,708.174194,525.645935,9,1183.837036,509.848694,-1.382364,56.628468,0.500000
6,-25.569502,-18.043736,1653.559814,7,1003.570862,511.992676,8,886.077148,499.313232,0.092744,0.067821,0.333333
7,-70.286880,-49.920200,4545.416504,7,1003.570862,511.992676,7,1255.398193,497.001282,-0.229895,0.454263,0.333333
8,-33.675205,-24.842951,2178.088135,7,1003.570862,511.992676,6,1024.401001,496.309479,-2.154205,2.061632,0.333333
9,56.864799,-15.439284,1355.982300,6,1134.434570,509.788177,8,886.077148,499.313232,2.340711,1.395172,0.333333
10,118.120689,-32.267338,2816.605469,6,1134.434570,509.788177,7,1255.398193,497.001282,2.056909,2.503415,0.333333
11,70.753288,-20.038837,1687.213501,6,1134.434570,509.788177,6,1024.401001,496.309479,0.108309,0.079811,0.333333
12,98.886070,-25.903288,1723.167725,5,1169.646240,502.598022,5,1071.049316,488.784393,0.107942,0.080925,1.000000
13,-161.983734,-54.489754,1729.690796,4,825.468628,465.080597,4,742.905334,454.380981,0.119791,0.092969,1.000000
14,-513.826294,-148.068588,1936.055542,3,436.962341,363.410431,3,447.500610,361.227386,0.098234,0.087904,1.000000
15,-558.229553,-178.443420,1891.445923,2,370.299927,323.150574,2,378.829071,324.623138,0.080130,0.070410,1.000000
16,-472.474274,-192.833633,1933.312012,1,484.389160,310.569977,1,488.369415,310.167328,0.066585,0.059156,1.000000
17,-511.504974,-223.906616,1890.488159,0,425.640656,268.420471,0,426.450226,271.788208,0.087858,0.076612,1.000000
