# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,1,15.202017,31.810019,1704.119995,10,1059.167236,579.437866,335,20,21,11,956.770752,566.202332,374,22,22,0.098379,0.073703,0.500000
0,1,10,25.377151,-59.582680,1659.888306,5,1073.684692,455.033173,355,21,22,5,955.516602,442.092529,393,23,22,0.089118,0.064962,1.000000
0,2,11,20.407156,-105.156013,1663.888062,4,1066.787109,392.828033,343,20,22,4,950.017334,380.076294,384,22,22,0.052088,0.038041,1.000000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,175.643356,69.242760,1914.028809,11,1247.919678,619.358887,12,1206.251587,606.719788,0.000941,0.000772,1.000000
1,15.202017,31.810019,1704.119995,10,1059.167236,579.437866,11,956.770752,566.202332,0.098379,0.073703,0.500000
2,10.664365,21.782011,1195.494629,10,1059.167236,579.437866,10,722.021973,564.667542,-1.911090,1.015576,0.500000
3,-340.335724,58.601006,3161.028564,9,793.569946,578.083374,11,956.770752,566.202332,2.118273,2.979932,0.500000
4,-189.208710,31.783812,1757.305054,9,793.569946,578.083374,10,722.021973,564.667542,0.086662,0.068524,0.500000
5,77.128929,-4.636782,897.056824,8,1234.767944,524.466492,9,627.418884,514.271179,1.339517,0.532246,0.500000
6,161.253799,-10.198775,1875.487671,8,1234.767944,524.466492,8,1182.085327,510.358215,0.127976,0.103589,0.500000
7,-249.297501,-8.234848,1708.390747,7,706.669495,525.918335,9,627.418884,514.271179,0.063241,0.049032,0.500000
8,13699.703125,478.307434,-93861.406250,7,706.669495,525.918335,8,1182.085327,510.358215,-1.181871,49.392704,0.500000
9,-163.108444,-54.320473,1729.498413,6,823.970032,465.318359,6,741.385864,454.621216,0.080091,0.062163,1.000000
10,25.377151,-59.582680,1659.888306,5,1073.684692,455.033173,5,955.516602,442.092529,0.089118,0.064962,1.000000
11,20.407156,-105.156013,1663.888062,4,1066.787109,392.828033,4,950.017334,380.076294,0.052088,0.038041,1.000000
12,-515.100464,-147.871887,1935.804199,3,435.417999,363.642761,3,446.017456,361.477081,0.067003,0.059967,1.000000
13,-559.492126,-178.253616,1891.206055,2,368.732727,323.365601,2,377.344879,324.882446,0.071110,0.062490,1.000000
14,-473.779633,-192.650574,1933.127930,1,482.828186,310.794891,1,486.875671,310.408051,0.025537,0.022713,1.000000
15,-512.812927,-223.733765,1890.336060,0,424.050201,268.638153,0,424.953033,272.029999,0.050214,0.043811,1.000000
