# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,6,-29.470751,16.905893,1666.523682,7,998.507202,560.001709,365,21,22,8,885.843079,546.901855,394,22,22,0.105136,0.077506,1.000000
0,1,4,64.871155,50.073338,1686.767090,9,1126.505615,604.553894,354,21,21,10,1016.808044,591.435303,396,23,23,0.106974,0.078837,1.000000
0,2,3,96.048088,60.154774,1719.057983,10,1166.187012,616.646790,334,20,21,11,1066.689819,603.722046,369,22,22,0.098225,0.073457,0.500000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,177.147614,68.823479,1914.069458,11,1249.708740,618.851624,12,1208.148682,606.195374,0.016586,0.013664,0.500000
1,138.701569,53.055584,1498.698120,11,1249.708740,618.851624,11,1066.689819,603.722046,-2.545619,1.653307,0.500000
2,128.052933,81.466751,2291.578369,10,1166.187012,616.646790,12,1208.148682,606.195374,2.677779,2.652194,0.500000
3,96.048088,60.154774,1719.057983,10,1166.187012,616.646790,11,1066.689819,603.722046,0.098225,0.073457,0.500000
4,64.871155,50.073338,1686.767090,9,1126.505615,604.553894,10,1016.808044,591.435303,0.106974,0.078837,1.000000
5,-188.102097,31.610922,1757.462280,8,795.017883,577.849487,9,723.478455,564.420776,0.101371,0.080149,1.000000
6,-29.470751,16.905893,1666.523682,7,998.507202,560.001709,8,885.843079,546.901855,0.105136,0.077506,1.000000
7,77.766548,-4.777415,896.992737,6,1236.404297,523.969788,7,628.916199,514.012695,1.613869,0.641101,0.500000
8,162.602676,-10.589526,1875.538696,6,1236.404297,523.969788,6,1183.824829,509.858459,0.172769,0.139825,0.500000
9,-248.212830,-8.421108,1708.649780,5,708.152466,525.649658,7,628.916199,514.012695,0.105313,0.081651,0.500000
10,13337.051758,482.456390,-91783.390625,5,708.152466,525.649658,6,1183.824829,509.858459,-1.375483,56.319386,0.500000
11,-162.003143,-54.485355,1729.724487,4,825.447021,465.088440,4,742.898193,454.386322,0.118406,0.091896,1.000000
12,-513.838318,-148.070877,1936.089355,3,436.958313,363.409302,3,447.507568,361.227692,0.100772,0.090176,1.000000
13,-558.256897,-178.446732,1891.507568,2,370.288422,323.148102,2,378.836823,324.629669,0.090199,0.079256,1.000000
14,-472.524139,-192.842789,1933.425537,1,484.362823,310.567627,1,488.375610,310.173126,0.075686,0.067240,1.000000
15,-511.534790,-223.908508,1890.553101,0,425.625671,268.434662,0,426.455139,271.786469,0.073640,0.064224,1.000000
