# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,3,-26.542219,5.272684,1702.632446,8,1003.284485,543.945984,306,19,20,9,902.296143,530.936279,341,21,20,0.075224,0.056604,0.500000
0,1,2,66.503052,9.689517,1744.351685,9,1125.748047,549.545227,284,19,19,10,1034.615845,536.190063,333,21,20,0.085996,0.065516,1.000000
0,2,6,92.544998,1.647754,1781.415283,7,1157.258545,538.999023,254,18,19,8,1077.195312,525.430969,306,20,19,0.065304,0.050636,0.500000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,175.635849,69.231270,1914.029785,11,1247.910645,619.342834,12,1206.242676,606.708191,0.005744,0.004730,1.000000
1,-189.217392,31.786188,1757.335815,10,793.562988,578.086365,11,722.024658,564.669250,0.085457,0.067572,1.000000
2,66.503052,9.689517,1744.351685,9,1125.748047,549.545227,10,1034.615845,536.190063,0.085996,0.065516,1.000000
3,-26.542219,5.272684,1702.632446,8,1003.284485,543.945984,9,902.296143,530.936279,0.075224,0.056604,0.500000
4,-38.573875,5.051634,2476.282715,8,1003.284485,543.945984,8,1077.195312,525.430969,-4.745522,5.151725,0.500000
5,69.870667,2.654832,1344.738281,7,1157.258545,538.999023,9,902.296143,530.936279,4.847048,2.860289,0.500000
6,92.544998,1.647754,1781.415283,7,1157.258545,538.999023,8,1077.195312,525.430969,0.065304,0.050636,0.500000
7,77.125954,-4.641547,897.064819,6,1234.758667,524.440491,7,627.419556,514.273132,1.367218,0.543258,0.500000
8,161.245163,-10.217884,1875.476440,6,1234.758667,524.440491,6,1182.072754,510.337311,0.133442,0.108013,0.500000
9,-249.314575,-8.235876,1708.434570,5,706.655273,525.914124,7,627.419556,514.273132,0.069278,0.053714,0.500000
10,13692.960938,478.569794,-93810.625000,5,706.655273,525.914124,6,1182.072754,510.337311,-1.198638,50.076050,0.500000
11,-163.117706,-54.322693,1729.512085,4,823.959534,465.315308,4,741.380371,454.619659,0.081470,0.063234,1.000000
12,-515.111023,-147.873718,1935.839722,3,435.416656,363.635986,3,446.024780,361.485321,0.081827,0.073230,1.000000
13,-559.477478,-178.235229,1891.167480,2,368.736725,323.398743,2,377.338379,324.884583,0.041765,0.036715,1.000000
14,-473.790802,-192.636276,1933.156128,1,482.823120,310.808472,1,486.878143,310.433289,0.037932,0.033719,1.000000
15,-512.803772,-223.720184,1890.313354,0,424.053711,268.650299,0,424.950684,272.043182,0.051932,0.045307,1.000000
