# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,2,-47.245522,-1.148018,1651.951904,9,973.621277,535.276367,354,21,22,10,857.048218,522.525024,391,22,23,0.121440,0.088968,0.500000
0,1,5,50.637447,-4.719991,1680.644653,8,1107.524658,530.458130,330,19,21,9,995.885132,517.194336,381,22,22,0.120848,0.088939,0.333333
0,2,15,80.527145,-11.961742,1714.811890,5,1145.887573,520.959534,308,19,20,6,1044.899414,507.434326,356,21,21,0.117675,0.088005,0.333333
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,177.143784,68.817215,1914.070801,11,1249.703857,618.844238,12,1208.141357,606.188416,0.016183,0.013332,1.000000
1,-188.093964,31.608515,1757.434814,10,795.024841,577.845276,11,723.474243,564.421143,0.104736,0.082808,1.000000
2,-47.245522,-1.148018,1651.951904,9,973.621277,535.276367,10,857.048218,522.525024,0.121440,0.088968,0.500000
3,-62.347450,-3.788183,2180.749512,9,973.621277,535.276367,9,995.885132,517.194336,-4.608240,4.428123,0.500000
4,40.672653,-2.392389,1349.570557,8,1107.524658,530.458130,10,857.048218,522.525024,4.819961,2.867086,0.333333
5,50.637447,-4.719991,1680.644653,8,1107.524658,530.458130,9,995.885132,517.194336,0.120848,0.088939,0.333333
6,30.571550,-3.950508,1014.494568,8,1107.524658,530.458130,8,628.911987,514.013489,-4.754677,2.149047,0.333333
7,77.767174,-4.778050,896.988770,7,1236.406616,523.966858,8,628.911987,514.013489,1.616322,0.642073,0.333333
8,162.602936,-10.590223,1875.518311,7,1236.406616,523.966858,7,1183.818848,509.860413,0.176676,0.142985,0.333333
9,128.305267,-9.350656,1479.864990,7,1236.406616,523.966858,6,1044.899414,507.434326,-2.919262,1.876187,0.333333
10,-248.206696,-8.423132,1708.630493,6,708.157166,525.644409,8,628.911987,514.013489,0.110061,0.085331,0.333333
11,13348.181641,482.952301,-91861.429688,6,708.157166,525.644409,7,1183.818848,509.860413,-1.369220,56.106831,0.333333
12,-1071.746460,-43.878361,7379.509766,6,708.157166,525.644409,6,1044.899414,507.434326,-4.455254,14.638284,0.333333
13,45.857204,-5.838572,976.425476,5,1145.887573,520.959534,8,628.911987,514.013489,4.594475,1.995136,0.333333
14,106.728714,-14.318417,2272.520264,5,1145.887573,520.959534,7,1183.818848,509.860413,3.233195,3.183931,0.333333
15,80.527145,-11.961742,1714.811890,5,1145.887573,520.959534,6,1044.899414,507.434326,0.117675,0.088005,0.333333
16,-161.998993,-54.488216,1729.688354,4,825.448242,465.084778,4,742.885681,454.380890,0.115428,0.089583,1.000000
17,-513.818176,-148.068481,1936.036621,3,436.965912,363.407013,3,447.499390,361.227631,0.101738,0.091038,1.000000
18,-558.238098,-178.445679,1891.469116,2,370.297882,323.146515,2,378.833069,324.626740,0.087660,0.077024,1.000000
19,-472.510559,-192.836716,1933.374878,1,484.364777,310.574829,1,488.362579,310.170258,0.064632,0.057424,1.000000
20,-511.520721,-223.912781,1890.518677,0,425.631897,268.424500,0,426.449615,271.778748,0.074401,0.064886,1.000000
