frame_idx,marker_idx,geometryId,trackingId,registrationError_mm,tx_mm,ty_mm,tz_mm,r00,r01,r02,r10,r11,r12,r20,r21,r22,presenceMask,fidCorresp0,fidCorresp1,fidCorresp2,fidCorresp3,fidCorresp4,fidCorresp5,status_bits
29,0,420,29,0.183674,-149.752792,-25.877199,1650.757812,0.971960,0.130651,-0.195512,0.160073,0.241435,0.957124,0.172253,-0.961582,0.213751,7,6,5,2,4294967295,4294967295,4294967295,0
30,0,420,30,0.141408,-144.737305,-53.906105,1635.021240,0.886241,0.237367,-0.397785,0.429888,-0.101581,0.897150,0.172546,-0.966094,-0.192066,7,14,2,1,4294967295,4294967295,4294967295,0
31,0,420,31,0.149473,-119.660622,-53.991436,1648.918823,0.863703,0.284702,-0.415887,0.426243,0.027716,0.904184,0.268950,-0.958215,-0.097414,7,8,2,1,4294967295,4294967295,4294967295,0
32,0,420,32,0.171073,-142.662186,-63.308136,1629.543823,0.911512,0.337168,-0.235509,0.148329,0.264584,0.952887,0.383595,-0.903500,0.191159,7,11,10,7,4294967295,4294967295,4294967295,0
33,0,420,33,0.154074,-121.192177,-54.988174,1615.295776,0.820165,0.452665,-0.349890,0.183705,0.370817,0.910355,0.541831,-0.810919,0.220974,7,8,5,2,4294967295,4294967295,4294967295,0
34,0,420,34,0.170361,-138.774323,-26.381121,1598.842163,0.820300,0.516513,-0.245606,0.028440,0.392062,0.919499,0.571226,-0.761250,0.306918,7,13,2,12,4294967295,4294967295,4294967295,0
35,0,420,35,0.178160,-147.700043,-20.907732,1594.843750,0.830407,0.550103,-0.088377,-0.149806,0.373229,0.915564,0.536640,-0.747052,0.392341,7,4,5,6,4294967295,4294967295,4294967295,0
36,0,420,36,0.169669,-133.321747,-59.941425,1584.724854,0.786753,0.584395,-0.198750,0.087181,0.213555,0.973033,0.611080,-0.782864,0.117067,7,10,9,6,4294967295,4294967295,4294967295,0
37,0,420,37,0.179234,-140.970703,-38.090717,1571.005981,0.868288,0.490757,0.072347,-0.204104,0.220510,0.953791,0.452126,-0.842931,0.291631,7,6,7,8,4294967295,4294967295,4294967295,0
38,0,420,38,0.189364,-145.674347,-53.756226,1589.727783,0.895545,0.444970,-0.001081,-0.076710,0.156778,0.984650,0.438309,-0.881716,0.174535,7,8,9,10,4294967295,4294967295,4294967295,0
39,0,420,39,0.167007,-130.012039,-8.033387,1626.759277,0.866672,0.483041,-0.124702,0.053708,0.158171,0.985950,0.495978,-0.861193,0.111139,7,7,3,6,4294967295,4294967295,4294967295,0
40,0,420,40,0.160077,-149.312378,-57.747963,1600.851196,0.895540,0.444716,0.015380,-0.082775,0.132528,0.987717,0.437215,-0.885813,0.155496,7,5,6,7,4294967295,4294967295,4294967295,0
41,0,420,41,0.150991,-143.102737,-39.412804,1618.149048,0.879238,0.471795,-0.065953,0.000640,0.137275,0.990533,0.476382,-0.870956,0.120395,7,15,7,11,4294967295,4294967295,4294967295,0
42,0,420,42,0.162411,-139.826050,-20.963152,1640.539429,0.863636,0.484261,-0.140086,0.091045,0.123482,0.988161,0.495826,-0.866166,0.062554,7,12,6,3,4294967295,4294967295,4294967295,0
43,0,420,43,0.153468,-158.609650,-17.907223,1617.910156,0.881774,0.464395,0.082534,-0.180402,0.170375,0.968725,0.435809,-0.869085,0.234010,7,5,6,10,4294967295,4294967295,4294967295,0
44,0,420,44,0.171339,-145.303391,-25.051260,1632.231567,0.871172,0.483076,-0.087732,-0.037231,0.243172,0.969268,0.489564,-0.841133,0.229830,7,8,5,9,4294967295,4294967295,4294967295,0
