# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,5,-24.232391,11.493135,1701.868164,8,1006.362976,552.279663,312,19,21,9,905.028625,539.206360,347,22,21,0.083403,0.062712,0.500000
0,1,2,70.976868,13.011703,1738.553711,9,1131.903198,553.945557,293,19,20,10,1038.845703,540.601501,339,21,21,0.083359,0.063265,0.500000
0,2,6,98.759415,3.672508,1774.005005,7,1165.735352,541.606812,265,18,19,8,1083.339111,528.049072,312,20,20,0.071546,0.055207,1.000000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,175.637680,69.226334,1914.045898,11,1247.911011,619.334839,12,1206.247437,606.702942,0.008618,0.007099,1.000000
1,-189.219299,31.786482,1757.346191,10,793.561951,578.080139,11,722.026855,564.675537,0.097821,0.077348,1.000000
2,70.976868,13.011703,1738.553711,9,1131.903198,553.945557,10,1038.845703,540.601501,0.083359,0.063265,0.500000
3,57.097023,9.898235,1398.563599,9,1131.903198,553.945557,9,905.028625,539.206360,-1.769168,1.086895,0.500000
4,-31.850952,16.024570,2237.323730,8,1006.362976,552.279663,10,1038.845703,540.601501,1.947514,1.913182,0.500000
5,-24.232391,11.493135,1701.868164,8,1006.362976,552.279663,9,905.028625,539.206360,0.083403,0.062712,0.500000
6,98.759415,3.672508,1774.005005,7,1165.735352,541.606812,8,1083.339111,528.049072,0.071546,0.055207,1.000000
7,77.127472,-4.643512,897.065186,6,1234.762451,524.426514,7,627.423523,514.277039,1.384966,0.550310,0.500000
8,161.249573,-10.227166,1875.491577,6,1234.762451,524.426514,6,1182.080688,510.328735,0.139067,0.112567,0.500000
9,-249.310898,-8.235942,1708.433594,5,706.659973,525.909912,7,627.423523,514.277039,0.077324,0.059953,0.500000
10,13686.906250,478.629089,-93770.320312,5,706.659973,525.909912,6,1182.080688,510.328735,-1.202970,50.237728,0.500000
11,-163.117340,-54.325184,1729.525269,4,823.961670,465.312836,4,741.386353,454.616669,0.080938,0.062821,1.000000
12,-515.086121,-147.871628,1935.766724,3,435.423065,363.638977,3,446.013184,361.474884,0.068344,0.061165,1.000000
13,-559.462708,-178.243149,1891.135864,2,368.743073,323.377014,2,377.336609,324.880371,0.058100,0.051062,1.000000
14,-473.787872,-192.651779,1933.161255,1,482.828033,310.790527,1,486.883667,310.416779,0.038627,0.034336,1.000000
15,-512.801575,-223.725754,1890.314819,0,424.056885,268.647064,0,424.953644,272.033966,0.045794,0.039958,1.000000
