# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,4,-14.922886,4.902553,1665.545044,7,1018.398376,543.573730,355,21,21,8,904.502991,530.587524,388,23,22,0.120939,0.088948,1.000000
0,1,2,76.497871,42.017277,1691.579224,9,1141.923828,593.494202,338,20,21,10,1033.536865,580.383606,382,23,21,0.122193,0.090187,1.000000
0,2,1,106.030388,51.393810,1725.522095,10,1178.893799,604.766968,319,20,20,11,1081.351196,591.799622,355,21,21,0.108071,0.081034,1.000000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,177.142654,68.814720,1914.079102,11,1249.701660,618.835327,12,1208.144165,606.189880,0.027647,0.022779,1.000000
1,106.030388,51.393810,1725.522095,10,1178.893799,604.766968,11,1081.351196,591.799622,0.108071,0.081034,1.000000
2,76.497871,42.017277,1691.579224,9,1141.923828,593.494202,10,1033.536865,580.383606,0.122193,0.090187,1.000000
3,-188.095901,31.613691,1757.441406,8,795.023010,577.849365,9,723.476990,564.428833,0.109541,0.086607,1.000000
4,-14.922886,4.902553,1665.545044,7,1018.398376,543.573730,8,904.502991,530.587524,0.120939,0.088948,1.000000
5,77.765373,-4.774884,896.995850,6,1236.400635,523.981384,7,628.916382,514.014038,1.603707,0.637067,0.500000
6,162.598907,-10.582644,1875.529907,6,1236.400635,523.981384,6,1183.818726,509.863586,0.166065,0.134398,0.500000
7,-248.216797,-8.422793,1708.660034,5,708.149170,525.643921,7,628.916382,514.014038,0.112189,0.086983,0.500000
8,13344.492188,482.735077,-91834.070312,5,708.149170,525.643921,6,1183.818726,509.863586,-1.364700,55.901241,0.500000
9,-162.004395,-54.482807,1729.717285,4,825.444519,465.091400,4,742.893616,454.389435,0.118613,0.092056,1.000000
10,-513.836670,-148.066055,1936.073486,3,436.955353,363.421844,3,447.501007,361.223907,0.084894,0.075971,1.000000
11,-558.238098,-178.447571,1891.461304,2,370.294525,323.144318,2,378.830841,324.621521,0.085515,0.075141,1.000000
12,-472.518250,-192.835663,1933.391479,1,484.360046,310.576935,1,488.364990,310.172852,0.066307,0.058912,1.000000
13,-511.513397,-223.901749,1890.497314,0,425.633118,268.433136,0,426.448181,271.788269,0.076815,0.066989,1.000000
