# Cross-reference: marker -> fiducial -> raw detection
marker_idx,geom_fid_idx,fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,left_area,left_w,left_h,right_raw_idx,right_cx,right_cy,right_area,right_w,right_h,epipolar_err_px,triangulation_err_mm,probability
0,0,8,63.295578,-30.068495,1740.513062,5,1121.738037,497.487549,332,20,21,5,1029.280396,483.953888,367,22,22,0.090333,0.068689,1.000000
0,1,3,-24.080099,2.542905,1699.068481,8,1006.513794,540.283630,352,21,21,9,904.218994,527.323792,378,22,22,0.102294,0.076794,1.000000
0,2,2,-69.151237,9.775535,1704.866821,9,946.358704,549.957092,339,21,20,10,848.763794,537.013428,371,22,22,0.076495,0.057931,1.000000
# Unmatched 3D fiducials (not assigned to any marker)
fid3d_idx,fid3d_x_mm,fid3d_y_mm,fid3d_z_mm,left_raw_idx,left_cx,left_cy,right_raw_idx,right_cx,right_cy,epipolar_err_px,triangulation_err_mm,probability
0,175.663834,69.207420,1914.018799,11,1247.945312,619.312622,12,1206.278076,606.680847,0.010602,0.008735,1.000000
1,-189.206802,31.780300,1757.340698,10,793.577148,578.074341,11,722.042419,564.664185,0.093857,0.074214,1.000000
2,-69.151237,9.775535,1704.866821,9,946.358704,549.957092,10,848.763794,537.013428,0.076495,0.057931,1.000000
3,-24.080099,2.542905,1699.068481,8,1006.513794,540.283630,9,904.218994,527.323792,0.102294,0.076794,1.000000
4,77.135094,-4.643932,897.063660,7,1234.782227,524.419373,8,627.443054,514.280090,1.396985,0.555083,0.500000
5,161.265823,-10.233914,1875.492310,7,1234.782227,524.419373,7,1182.104248,510.317596,0.136947,0.110850,0.500000
6,-249.310806,-8.233858,1708.467529,6,706.666382,525.910767,8,627.443054,514.280090,0.081343,0.063070,0.500000
7,13665.412109,478.061462,-93624.640625,6,706.666382,525.910767,7,1182.104248,510.317596,-1.213302,50.595551,0.500000
8,63.295578,-30.068495,1740.513062,5,1121.738037,497.487549,5,1029.280396,483.953888,0.090333,0.068689,1.000000
9,-163.116653,-54.327194,1729.544678,4,823.964783,465.308563,4,741.398438,454.615295,0.085520,0.066378,1.000000
10,-515.096680,-147.876709,1935.833008,3,435.430786,363.644135,3,446.038391,361.467468,0.058083,0.051988,1.000000
11,-559.453186,-178.256287,1891.142822,2,368.756134,323.357544,2,377.352997,324.868073,0.066208,0.058183,1.000000
12,-473.767700,-192.652008,1933.136230,1,482.843842,310.783997,1,486.895111,310.414398,0.044416,0.039476,1.000000
13,-512.774841,-223.727280,1890.292358,0,424.080780,268.639618,0,424.972351,272.028534,0.049647,0.043316,1.000000
