frame_idx,sdk_fid_count,our_fid_count,count_diff,sdk_px,sdk_py,sdk_pz,sdk_epiErr,sdk_triErr,sdk_prob,sdk_status,our_px,our_py,our_pz,our_epiErr,our_triErr,our_prob,pos_diff_mm,epi_diff_px,tri_diff_mm
2,13,13,0,-558.215698,-178.266083,1891.508545,0.133132,0.116963,1.000000,0,-558.215698,-178.266068,1891.508423,0.133123,0.116921,1.000000,0.000123,0.000009,0.000042
2,13,13,0,-472.453278,-192.643112,1933.354004,0.099598,0.088467,1.000000,0,-472.453278,-192.643112,1933.353882,0.099609,0.088439,1.000000,0.000122,0.000011,0.000028
2,13,13,0,106.947517,-197.844696,1820.227173,0.158950,0.124945,1.000000,0,106.947723,-197.845779,1820.229980,0.156960,0.123340,1.000000,0.003016,0.001990,0.001605
2,13,13,0,-511.497772,-223.734238,1890.572266,0.127693,0.111329,1.000000,0,-511.497742,-223.734222,1890.572144,0.127710,0.111297,1.000000,0.000127,0.000018,0.000032
2,13,13,0,120.451332,-239.936752,1832.117676,0.049631,0.039140,1.000000,0,120.451363,-239.936707,1832.117432,0.049671,0.039116,1.000000,0.000250,0.000041,0.000024
3,13,13,0,196.794144,53.153564,1930.477173,0.115515,0.095813,1.000000,0,196.794174,53.153549,1930.477295,0.115473,0.095781,1.000000,0.000127,0.000042,0.000032
3,13,13,0,-187.224808,24.017185,1777.858276,0.169561,0.135540,1.000000,0,-187.224792,24.017168,1777.858154,0.169513,0.135503,1.000000,0.000124,0.000049,0.000037
3,13,13,0,-247.793259,-19.717684,1732.945312,0.172674,0.135659,1.000000,0,-247.793243,-19.717690,1732.945190,0.172638,0.135629,1.000000,0.000123,0.000036,0.000030
3,13,13,0,175.247559,-26.445526,1896.013794,0.162955,0.133109,1.000000,0,175.247574,-26.445520,1896.013550,0.162948,0.133100,1.000000,0.000245,0.000008,0.000009
3,13,13,0,226.146530,-37.676704,1977.256226,0.210137,0.177976,1.000000,0,226.146561,-37.676712,1977.256348,0.210105,0.177945,1.000000,0.000126,0.000032,0.000032
3,13,13,0,-161.449646,-64.076614,1756.980469,0.208061,0.163862,1.000000,0,-161.449615,-64.076607,1756.980347,0.208049,0.163844,1.000000,0.000126,0.000011,0.000017
3,13,13,0,31.977974,-128.563889,1820.662598,0.139116,0.110704,1.000000,0,31.978027,-128.563858,1820.662231,0.139111,0.110678,1.000000,0.000371,0.000005,0.000026
3,13,13,0,-513.821106,-147.887268,1936.120239,0.152484,0.136437,1.000000,0,-513.821106,-147.887268,1936.120117,0.152488,0.136416,1.000000,0.000122,0.000005,0.000021
3,13,13,0,-558.202148,-178.265549,1891.441650,0.139209,0.122296,1.000000,0,-558.203064,-178.266220,1891.443237,0.140353,0.123268,1.000000,0.001951,0.001144,0.000972
3,13,13,0,-472.466339,-192.644897,1933.364258,0.124910,0.110942,1.000000,0,-472.466278,-192.644867,1933.364014,0.124937,0.110929,1.000000,0.000253,0.000027,0.000013
3,13,13,0,106.939415,-197.844421,1820.233032,0.149018,0.117141,1.000000,0,106.939438,-197.844391,1820.232666,0.149036,0.117114,1.000000,0.000368,0.000018,0.000027
3,13,13,0,-511.489929,-223.727585,1890.533569,0.138410,0.120667,1.000000,0,-511.489899,-223.727570,1890.533447,0.138432,0.120639,1.000000,0.000127,0.000022,0.000028
3,13,13,0,120.448845,-239.932480,1832.066162,0.066487,0.052413,1.000000,0,120.448715,-239.932419,1832.064087,0.065976,0.051955,1.000000,0.002080,0.000511,0.000458
4,7,8,-1,196.789337,53.139801,1930.490479,0.114981,0.095371,1.000000,0,196.789352,53.139805,1930.490112,0.114914,0.095318,1.000000,0.000367,0.000067,0.000053
4,7,8,-1,175.244171,-26.459154,1896.037231,0.163515,0.133567,1.000000,0,175.244186,-26.459141,1896.037231,0.163477,0.133534,1.000000,0.000020,0.000037,0.000034
4,7,8,-1,226.138138,-37.693726,1977.263794,0.213043,0.180438,1.000000,0,226.138153,-37.693707,1977.263428,0.213003,0.180400,1.000000,0.000367,0.000040,0.000038
4,7,8,-1,-513.825684,-147.888138,1936.118896,0.168798,0.151031,1.000000,0,-513.825623,-147.888138,1936.118896,0.168784,0.150993,0.500000,0.000061,0.000015,0.000038
4,7,8,-1,-558.222900,-178.265121,1891.501343,0.137563,0.120854,1.000000,0,-558.222900,-178.265106,1891.501343,0.137550,0.120809,1.000000,0.000015,0.000012,0.000044
4,7,8,-1,-472.488953,-192.652252,1933.403198,0.109835,0.097559,1.000000,0,-472.488922,-192.652237,1933.403076,0.109822,0.097510,1.000000,0.000127,0.000013,0.000049
4,7,8,-1,-511.505371,-223.730972,1890.567505,0.129098,0.112554,1.000000,0,-511.505371,-223.730957,1890.567505,0.129131,0.112536,1.000000,0.000015,0.000033,0.000019
5,10,10,0,196.794327,53.163876,1930.479370,0.106799,0.088583,1.000000,0,196.794357,53.163876,1930.479248,0.106710,0.088512,1.000000,0.000126,0.000090,0.000071
5,10,10,0,-246.437775,-20.699068,1723.513306,-2.604267,2.035122,1.000000,0,-246.437759,-20.699074,1723.513184,-2.604295,2.035147,1.000000,0.000123,0.000028,0.000024
5,10,10,0,175.251968,-26.443003,1895.984253,0.164392,0.134280,0.500000,0,175.251968,-26.442997,1895.984009,0.164330,0.134226,0.500000,0.000244,0.000062,0.000054
5,10,10,0,226.148758,-37.669044,1977.218262,0.210877,0.178600,1.000000,0,226.148804,-37.669056,1977.218384,0.210841,0.178565,1.000000,0.000131,0.000036,0.000035
5,10,10,0,-513.809570,-147.877853,1936.109985,0.159115,0.142369,1.000000,0,-513.809509,-147.877853,1936.109985,0.159124,0.142352,1.000000,0.000061,0.000009,0.000017
5,10,10,0,-558.212830,-178.258301,1891.488892,0.142600,0.125277,0.500000,0,-558.212769,-178.258301,1891.488770,0.142599,0.125243,0.500000,0.000136,0.000002,0.000035
5,10,10,0,-472.481049,-192.644241,1933.404053,0.121326,0.107762,1.000000,0,-472.481018,-192.644226,1933.403931,0.121318,0.107717,1.000000,0.000127,0.000008,0.000044
5,10,10,0,-511.495728,-223.725815,1890.570435,0.134240,0.117036,1.000000,0,-511.495728,-223.725815,1890.570312,0.134277,0.117020,1.000000,0.000122,0.000036,0.000016
6,8,8,0,196.790970,53.146778,1930.476562,0.109922,0.091174,1.000000,0,196.790955,53.146767,1930.476440,0.109908,0.091165,1.000000,0.000124,0.000014,0.000009
6,8,8,0,-247.481171,-19.920931,1730.735107,-0.388711,0.304999,1.000000,0,-247.481140,-19.920918,1730.734985,-0.388748,0.305030,1.000000,0.000127,0.000036,0.000030
6,8,8,0,175.251434,-26.452763,1895.989990,0.167930,0.137170,1.000000,0,175.251465,-26.452763,1895.989624,0.167900,0.137143,1.000000,0.000367,0.000030,0.000028
6,8,8,0,226.146774,-37.678150,1977.243164,0.208690,0.176750,1.000000,0,226.146759,-37.678158,1977.243164,0.208664,0.176723,1.000000,0.000017,0.000026,0.000027
6,8,8,0,-513.788696,-147.886841,1936.052368,0.168284,0.150566,1.000000,0,-513.788696,-147.886841,1936.052246,0.168285,0.150542,1.000000,0.000122,0.000001,0.000024
6,8,8,0,-558.227539,-178.272476,1891.513306,0.137283,0.120609,1.000000,0,-558.227539,-178.272476,1891.513306,0.137290,0.120582,1.000000,0.000000,0.000007,0.000028
6,8,8,0,-472.496033,-192.654938,1933.462524,0.105467,0.093683,1.000000,0,-472.496002,-192.654938,1933.462402,0.105487,0.093664,1.000000,0.000126,0.000020,0.000019
6,8,8,0,-511.544434,-223.748764,1890.682617,0.120870,0.105390,1.000000,0,-511.544373,-223.748749,1890.682495,0.120908,0.105376,1.000000,0.000137,0.000039,0.000014
7,7,7,0,196.771423,53.150993,1930.469360,0.117862,0.097759,1.000000,0,196.771637,53.150932,1930.467529,0.117812,0.097721,1.000000,0.001844,0.000050,0.000039
7,7,7,0,175.230927,-26.442108,1896.027832,0.157388,0.128562,1.000000,0,175.230972,-26.442104,1896.027466,0.157358,0.128535,1.000000,0.000369,0.000030,0.000028
7,7,7,0,226.124435,-37.673061,1977.270020,0.206618,0.174998,1.000000,0,226.124466,-37.673050,1977.270020,0.206590,0.174970,1.000000,0.000033,0.000028,0.000028
7,7,7,0,-513.873535,-147.891479,1936.205444,0.158673,0.141980,1.000000,0,-513.873535,-147.891464,1936.205444,0.158667,0.141950,1.000000,0.000015,0.000006,0.000030
7,7,7,0,-558.210449,-178.260864,1891.447144,0.124978,0.109797,1.000000,0,-558.210388,-178.260864,1891.447021,0.124973,0.109760,1.000000,0.000136,0.000005,0.000037
7,7,7,0,-472.517273,-192.653397,1933.468140,0.126073,0.111980,1.000000,0,-472.517242,-192.653381,1933.468018,0.126064,0.111935,1.000000,0.000127,0.000008,0.000045
7,7,7,0,-511.526154,-223.725311,1890.585327,0.119636,0.104309,1.000000,0,-511.525116,-223.725525,1890.581421,0.118140,0.102958,1.000000,0.004047,0.001495,0.001351
8,9,9,0,196.801392,53.149296,1930.483887,0.120738,0.100145,1.000000,0,196.801865,53.149178,1930.480469,0.120804,0.100203,1.000000,0.003453,0.000066,0.000058
8,9,9,0,-247.791214,-19.715557,1733.005127,0.176623,0.138766,1.000000,0,-247.793274,-19.715906,1733.010376,0.177342,0.139330,1.000000,0.005650,0.000720,0.000564
8,9,9,0,175.261124,-26.451252,1896.019043,0.169314,0.138303,1.000000,0,175.261169,-26.451233,1896.018677,0.169282,0.138274,1.000000,0.000370,0.000032,0.000029
8,9,9,0,226.157669,-37.675873,1977.224854,0.198513,0.168129,1.000000,0,226.157669,-37.675869,1977.224365,0.198470,0.168088,1.000000,0.000488,0.000043,0.000041
8,9,9,0,-161.438202,-64.074532,1757.005737,0.207966,0.163789,1.000000,0,-161.438187,-64.074532,1757.005737,0.207936,0.163758,1.000000,0.000015,0.000029,0.000031
8,9,9,0,-513.802429,-147.899979,1936.134033,0.164822,0.147475,1.000000,0,-513.802368,-147.899963,1936.133911,0.164823,0.147451,1.000000,0.000137,0.000001,0.000024
8,9,9,0,-558.207886,-178.276154,1891.516235,0.136411,0.119843,1.000000,0,-558.208252,-178.276749,1891.516968,0.137619,0.120871,1.000000,0.001012,0.001209,0.001028
8,9,9,0,-472.466583,-192.660751,1933.421631,0.110897,0.098503,1.000000,0,-472.466553,-192.660736,1933.421509,0.110923,0.098488,1.000000,0.000127,0.000025,0.000015
8,9,9,0,-511.485352,-223.739624,1890.575806,0.124912,0.108906,1.000000,0,-511.485352,-223.739624,1890.575806,0.124921,0.108867,1.000000,0.000000,0.000009,0.000040
9,10,10,0,196.775116,53.143932,1930.485352,0.118703,0.098458,1.000000,0,196.775131,53.143948,1930.485474,0.118613,0.098386,1.000000,0.000124,0.000090,0.000072
9,10,10,0,175.235962,-26.453867,1896.020996,0.168734,0.137830,1.000000,0,175.235962,-26.453856,1896.020996,0.168710,0.137807,1.000000,0.000011,0.000024,0.000023
9,10,10,0,226.127869,-37.684631,1977.230957,0.226427,0.191771,1.000000,0,226.127914,-37.684620,1977.230713,0.226411,0.191753,1.000000,0.000249,0.000015,0.000018
9,10,10,0,0.949804,-106.795013,1550.918701,0.105300,0.071949,1.000000,0,0.949821,-106.795013,1550.918701,0.105285,0.071922,1.000000,0.000016,0.000015,0.000028
9,10,10,0,-513.824219,-147.885834,1936.102295,0.139279,0.124622,1.000000,0,-513.824158,-147.885834,1936.102173,0.139264,0.124585,1.000000,0.000136,0.000014,0.000038
9,10,10,0,89.352135,-134.068558,1594.004150,0.129911,0.090005,1.000000,0,89.352173,-134.068542,1594.003906,0.129909,0.089979,1.000000,0.000248,0.000002,0.000026
9,10,10,0,112.177200,-142.566238,1632.976685,0.078086,0.055233,1.000000,0,112.177216,-142.566223,1632.976562,0.078105,0.055220,1.000000,0.000124,0.000019,0.000013
9,10,10,0,-558.242676,-178.273819,1891.531250,0.140714,0.123623,1.000000,0,-558.242615,-178.273819,1891.531006,0.140733,0.123607,1.000000,0.000252,0.000020,0.000016
9,10,10,0,-472.501648,-192.653656,1933.423706,0.107701,0.095665,1.000000,0,-472.498993,-192.652054,1933.412842,0.108873,0.096668,1.000000,0.011298,0.001172,0.001003
9,10,10,0,-511.511047,-223.731705,1890.557373,0.146553,0.127765,1.000000,0,-511.511078,-223.731705,1890.557373,0.146592,0.127752,1.000000,0.000031,0.000039,0.000013
