frame_idx,side,sdk_det_count,our_blob_count,count_diff,sdk_cx,sdk_cy,sdk_area,our_cx,our_cy,our_area,centroid_dist_px
2,right,13,13,0,488.520294,310.318573,167,488.520294,310.318573,167,0.000000
2,right,13,13,0,378.985199,324.773712,165,378.985199,324.773712,165,0.000000
2,right,13,13,0,1011.350464,362.343109,265,1011.350464,362.343109,265,0.000000
2,right,13,13,0,447.657806,361.382751,155,447.657806,361.382751,155,0.000000
2,right,13,13,0,754.982239,443.178711,358,754.982239,443.178711,358,0.000000
2,right,13,13,0,1274.933350,478.113892,225,1274.933350,478.113892,225,0.000000
2,right,13,13,0,1202.736572,490.425812,249,1202.736572,490.425812,249,0.000000
2,right,13,13,0,641.095459,499.713684,358,641.095459,499.713684,358,0.000000
2,right,13,13,0,733.169739,554.424622,348,733.169739,554.424622,348,0.000000
2,right,13,13,0,1234.302246,586.675476,242,1234.302246,586.675476,242,0.000000
3,left,13,13,0,1188.511475,238.716797,135,1188.511475,238.716797,135,0.000000
3,left,13,13,0,425.658783,268.607178,168,425.658783,268.607178,168,0.000000
3,left,13,13,0,1172.646851,289.268494,157,1172.646851,289.268494,157,0.000000
3,left,13,13,0,484.400391,310.760559,168,484.400391,310.760559,168,0.000000
3,left,13,13,0,370.315521,323.325806,172,370.315002,323.324585,172,0.001326
3,left,13,13,0,436.974609,363.595184,156,436.974609,363.595184,156,0.000000
3,left,13,13,0,1078.865234,375.887665,184,1078.865234,375.887665,184,0.000000
3,left,13,13,0,829.470947,453.715271,332,829.470947,453.715271,332,0.000000
3,left,13,13,0,1299.373291,493.409668,112,1299.373291,493.409668,112,0.000000
3,left,13,13,0,1249.455566,505.055725,136,1249.455566,505.055725,136,0.000000
3,left,13,13,0,713.319641,510.929810,339,713.319641,510.929810,339,0.000000
3,left,13,13,0,798.924744,567.615417,325,798.924744,567.615417,325,0.000000
3,left,13,13,0,1271.088135,599.605652,136,1271.088135,599.605652,136,0.000000
3,right,13,13,0,1122.581665,221.427078,234,1122.581055,221.426529,234,0.000821
3,right,13,13,0,1103.465820,273.130402,253,1103.465820,273.130402,253,0.000000
3,right,13,13,0,426.597900,271.938721,164,426.597900,271.938721,164,0.000000
3,right,13,13,0,488.512268,310.330566,166,488.512268,310.330566,166,0.000000
3,right,13,13,0,378.962891,324.770660,164,378.962891,324.770660,164,0.000000
3,right,13,13,0,1011.334900,362.340546,264,1011.334900,362.340546,264,0.000000
3,right,13,13,0,447.647064,361.380188,155,447.647064,361.380188,155,0.000000
3,right,13,13,0,754.973877,443.182770,359,754.973877,443.182770,359,0.000000
3,right,13,13,0,1274.929199,478.111328,222,1274.929199,478.111328,222,0.000000
3,right,13,13,0,1202.728027,490.433807,248,1202.728027,490.433807,248,0.000000
3,right,13,13,0,641.085571,499.722290,360,641.085571,499.722290,360,0.000000
3,right,13,13,0,733.158997,554.430298,349,733.158997,554.430298,349,0.000000
3,right,13,13,0,1234.289551,586.676331,243,1234.289551,586.676331,243,0.000000
4,left,8,8,0,425.651398,268.612854,167,425.651398,268.612854,167,0.000000
4,left,8,8,0,484.385223,310.764435,168,484.385223,310.764435,168,0.000000
4,left,8,8,0,370.311798,323.333954,172,370.311798,323.333954,172,0.000000
4,left,8,8,0,436.968842,363.585510,156,436.968842,363.585510,156,0.000000
4,left,8,8,0,1299.362671,493.388824,112,1299.362671,493.388824,112,0.000000
4,left,8,8,0,1249.448853,505.039490,137,1249.448853,505.039490,137,0.000000
4,left,8,8,0,713.174683,510.704834,327,713.174683,510.704834,327,0.000000
4,left,8,8,0,1271.080933,599.589294,136,1271.080933,599.589294,136,0.000000
4,right,7,10,3,426.599457,271.934875,164,426.599457,271.934875,164,0.000000
4,right,7,10,3,488.507690,310.319397,164,488.507690,310.319397,164,0.000000
4,right,7,10,3,378.974030,324.776520,164,378.974030,324.776520,164,0.000000
4,right,7,10,3,447.642029,361.387329,154,447.642029,361.387329,154,0.000000
4,right,7,10,3,1274.920044,478.092957,225,1274.920044,478.092957,225,0.000000
4,right,7,10,3,1202.727661,490.417816,246,1202.727661,490.417816,246,0.000000
4,right,7,10,3,1234.285522,586.659058,242,1234.285522,586.659058,242,0.000000
5,left,9,9,0,425.663727,268.616669,166,425.663727,268.616669,166,0.000000
5,left,9,9,0,484.394592,310.767883,167,484.394592,310.767883,167,0.000000
5,left,9,9,0,370.319336,323.338013,172,370.319336,323.338013,172,0.000000
5,left,9,9,0,436.984833,363.601776,155,436.984833,363.601776,155,0.000000
5,left,9,9,0,829.454590,453.711548,329,829.454590,453.711548,329,0.000000
5,left,9,9,0,1299.380859,493.417297,112,1299.380859,493.417297,112,0.000000
5,left,9,9,0,1249.464111,505.057587,138,1249.464111,505.057587,138,0.000000
5,left,9,9,0,713.323853,510.925018,338,713.323853,510.925018,338,0.000000
5,left,9,9,0,1271.088135,599.622070,136,1271.088135,599.622070,136,0.000000
5,right,11,11,0,426.611084,271.943268,165,426.611084,271.943268,165,0.000000
5,right,11,11,0,488.516449,310.333893,164,488.516449,310.333893,164,0.000000
5,right,11,11,0,1083.930176,318.129150,181,1083.930176,318.129150,181,0.000000
5,right,11,11,0,378.977692,324.785248,162,378.977692,324.785248,162,0.000000
5,right,11,11,0,447.653809,361.392883,155,447.653809,361.392883,155,0.000000
5,right,11,11,0,1091.546265,380.884613,206,1091.546265,380.884613,206,0.000000
5,right,11,11,0,1274.927368,478.119873,222,1274.927368,478.119873,222,0.000000
5,right,11,11,0,1202.728638,490.437073,247,1202.728638,490.437073,247,0.000000
5,right,11,11,0,638.230896,496.963837,192,638.230896,496.963837,192,0.000000
5,right,11,11,0,1041.720337,507.460083,221,1041.720337,507.460083,221,0.000000
5,right,11,11,0,1234.290039,586.684326,242,1234.290039,586.684326,242,0.000000
6,left,9,9,0,425.642120,268.612213,168,425.642120,268.612213,168,0.000000
6,left,9,9,0,484.393890,310.770447,169,484.393890,310.770447,169,0.000000
6,left,9,9,0,370.310547,323.326630,173,370.310547,323.326630,173,0.000000
6,left,9,9,0,436.991272,363.581268,157,436.991272,363.581268,157,0.000000
6,left,9,9,0,829.462891,453.702240,331,829.462891,453.702240,331,0.000000
6,left,9,9,0,1299.375244,493.408417,112,1299.375244,493.408417,112,0.000000
6,left,9,9,0,1249.462891,505.044189,137,1249.462891,505.044189,137,0.000000
6,left,9,9,0,713.314697,510.919128,339,713.314697,510.919128,339,0.000000
6,left,9,9,0,1271.084473,599.600403,137,1271.084473,599.600403,137,0.000000
6,right,8,9,1,426.619019,271.925781,166,426.619019,271.925781,166,0.000000
6,right,8,9,1,488.529175,310.320374,166,488.529175,310.320374,166,0.000000
6,right,8,9,1,378.975800,324.769348,167,378.975800,324.769348,167,0.000000
6,right,8,9,1,447.646179,361.382660,154,447.646179,361.382660,154,0.000000
6,right,8,9,1,1274.927856,478.108612,225,1274.927856,478.108612,225,0.000000
6,right,8,9,1,1202.728882,490.427002,247,1202.728882,490.427002,247,0.000000
6,right,8,9,1,640.411804,499.155792,327,640.411804,499.155792,327,0.000000
6,right,8,9,1,1234.285522,586.665405,242,1234.285522,586.665405,242,0.000000
7,left,8,8,0,425.632507,268.627197,168,425.632507,268.627197,168,0.000000
7,left,8,8,0,484.370636,310.762238,167,484.370636,310.762238,167,0.000000
7,left,8,8,0,370.307709,323.339569,171,370.307709,323.339569,171,0.000000
7,left,8,8,0,436.939941,363.594727,157,436.939941,363.594727,157,0.000000
7,left,8,8,0,1299.346069,493.415894,111,1299.346069,493.415894,111,0.000000
7,left,8,8,0,1249.434082,505.062805,137,1249.434082,505.062805,137,0.000000
7,left,8,8,0,712.510742,510.144470,296,712.509094,510.142914,296,0.002267
7,left,8,8,0,1271.062256,599.601746,136,1271.062744,599.601746,136,0.000488
7,right,10,10,0,426.587067,271.939423,164,426.586090,271.937927,164,0.001786
7,right,10,10,0,488.510437,310.333496,165,488.510437,310.333496,165,0.000000
7,right,10,10,0,378.957123,324.769623,165,378.957123,324.769623,165,0.000000
7,right,10,10,0,447.636627,361.386200,155,447.636627,361.386200,155,0.000000
7,right,10,10,0,1052.161255,371.953705,91,1052.161255,371.953705,91,0.000000
7,right,10,10,0,1052.337402,436.358826,125,1052.337402,436.358826,125,0.000000
7,right,10,10,0,1274.904785,478.114380,221,1274.904785,478.114380,221,0.000000
7,right,10,10,0,1202.710083,490.435547,245,1202.710083,490.435547,245,0.000000
7,right,10,10,0,982.908264,556.085571,144,982.908264,556.085571,144,0.000000
7,right,10,10,0,1234.261108,586.674622,241,1234.261108,586.674622,241,0.000000
8,left,9,9,0,425.677948,268.605774,168,425.677948,268.605774,168,0.000000
8,left,9,9,0,484.416534,310.755951,169,484.416534,310.755951,169,0.000000
8,left,9,9,0,370.334900,323.322937,172,370.334656,323.321686,172,0.001275
8,left,9,9,0,437.000549,363.575012,155,437.000549,363.575012,155,0.000000
8,left,9,9,0,829.488770,453.719208,331,829.488770,453.719208,331,0.000000
8,left,9,9,0,1299.390259,493.415619,112,1299.390259,493.415619,112,0.000000
8,left,9,9,0,1249.471313,505.045837,135,1249.471313,505.045837,135,0.000000
8,left,9,9,0,713.333496,510.931458,339,713.331787,510.930695,339,0.001872
8,left,9,9,0,1271.095825,599.597839,136,1271.096802,599.597778,136,0.000978
8,right,12,12,0,426.624481,271.923309,166,426.624481,271.923309,166,0.000000
8,right,12,12,0,488.539642,310.311676,164,488.539642,310.311676,164,0.000000
8,right,12,12,0,378.997498,324.764526,164,378.997498,324.764526,164,0.000000
8,right,12,12,0,447.673157,361.372864,154,447.673157,361.372864,154,0.000000
8,right,12,12,0,1058.953125,391.534912,204,1058.953125,391.534912,204,0.000000
