Timestamp;Index;CoordX;CoordY;CoordZ;Epipolar;Triangulation;Probability;LeftIndex;RightIndex
0x000000005a3566cd;2;82.5409;-7.2737;813.6336;-0.0232;0.0084;1.0000;1;1
0x000000005a3566cd;3;118.5623;-33.3905;789.3633;0.0383;0.0133;1.0000;0;0
0x000000005a35acc3;0;92.8701;46.8052;826.3809;-0.5120;0.1869;1.0000;3;3
0x000000005a35acc3;1;143.3783;28.2942;796.8456;0.1998;0.0696;1.0000;2;2
0x000000005a35acc3;2;82.5701;-7.2556;813.6548;-0.0338;0.0122;1.0000;1;1
0x000000005a35acc3;3;118.5983;-33.3704;789.3951;0.0380;0.0132;1.0000;0;0
0x000000005a35c415;0;92.8804;46.8099;826.3947;-0.5147;0.1879;1.0000;3;3
0x000000005a35c415;1;143.3909;28.3022;796.8650;0.1994;0.0694;1.0000;2;2
0x000000005a35c415;2;82.5796;-7.2473;813.6661;-0.0299;0.0108;1.0000;1;1
0x000000005a35c415;3;118.6106;-33.3614;789.4133;0.0390;0.0135;1.0000;0;0
0x000000005a3615b5;0;92.9031;46.8355;826.4678;-0.5110;0.1866;1.0000;3;3
0x000000005a3615b5;1;143.4327;28.3332;796.9686;0.2005;0.0698;1.0000;2;2
0x000000005a3615b5;2;82.6124;-7.2208;813.7305;-0.0234;0.0085;1.0000;1;1
0x000000005a3615b5;3;118.6602;-33.3287;789.4883;0.0436;0.0151;1.0000;0;0
0x000000005a362d07;0;92.9088;46.8459;826.4981;-0.5134;0.1874;1.0000;3;3
0x000000005a362d07;1;143.4424;28.3396;797.0027;0.2008;0.0699;1.0000;2;2
0x000000005a362d07;2;82.6201;-7.2153;813.7508;-0.0276;0.0099;1.0000;1;1
0x000000005a362d07;3;118.6726;-33.3232;789.5208;0.0415;0.0144;1.0000;0;0
0x000000005a367ea7;0;92.9118;46.8427;826.5804;-0.5191;0.1895;1.0000;3;3
0x000000005a367ea7;1;143.4574;28.3179;797.1324;0.2046;0.0713;1.0000;2;2
0x000000005a367ea7;2;82.6232;-7.2210;813.8751;-0.0278;0.0100;1.0000;1;1
0x000000005a367ea7;3;118.6849;-33.3467;789.6754;0.0471;0.0164;1.0000;0;0
0x000000005a36a1a2;0;92.9015;46.8265;826.6123;-0.5117;0.1868;1.0000;3;3
0x000000005a36a1a2;1;143.4519;28.2829;797.1771;0.1971;0.0686;1.0000;2;2
0x000000005a36a1a2;2;82.6107;-7.2411;813.9276;-0.0271;0.0098;1.0000;1;1
0x000000005a36a1a2;3;118.6732;-33.3829;789.7463;0.0485;0.0168;1.0000;0;0
0x000000005a36e798;0;92.8682;46.7875;826.6262;-0.5020;0.1833;1.0000;3;3
0x000000005a36e798;1;143.4169;28.2075;797.2078;0.1934;0.0673;1.0000;2;2
0x000000005a36e798;2;82.5689;-7.2892;813.9916;-0.0289;0.0104;1.0000;1;1
0x000000005a36e798;3;118.6286;-33.4607;789.8365;0.0405;0.0141;1.0000;0;0
0x000000005a36feea;0;92.8512;46.7801;826.6150;-0.5197;0.1898;1.0000;3;3
0x000000005a36feea;1;143.3944;28.1911;797.1905;0.1995;0.0695;1.0000;2;2
0x000000005a36feea;2;82.5494;-7.3013;813.9951;-0.0280;0.0101;1.0000;1;1
0x000000005a36feea;3;118.6049;-33.4786;789.8362;0.0440;0.0153;1.0000;0;0
0x000000005a3744e1;0;92.7863;46.7589;826.5649;-0.5144;0.1878;1.0000;3;3
0x000000005a3744e1;1;143.3051;28.1689;797.0900;0.1967;0.0685;1.0000;2;2
0x000000005a3744e1;2;82.4681;-7.3178;813.9320;-0.0320;0.0115;1.0000;1;1
0x000000005a3744e1;3;118.5010;-33.4935;789.7468;0.0436;0.0151;1.0000;0;0
0x000000005a377385;0;92.7439;46.7613;826.5175;-0.5114;0.1867;1.0000;3;3
0x000000005a377385;1;143.2435;28.1808;797.0070;0.1934;0.0673;1.0000;2;2
0x000000005a377385;2;82.4097;-7.3064;813.8538;-0.0324;0.0117;1.0000;1;1
0x000000005a377385;3;118.4231;-33.4734;789.6315;0.0382;0.0133;1.0000;0;0
0x000000005a37b97c;0;92.6943;46.7739;826.4698;-0.5029;0.1836;1.0000;3;3
0x000000005a37b97c;1;143.1785;28.2184;796.9034;0.1949;0.0679;1.0000;2;2
0x000000005a37b97c;2;82.3462;-7.2779;813.7556;-0.0292;0.0105;1.0000;1;1
0x000000005a37b97c;3;118.3456;-33.4269;789.4835;0.0421;0.0146;1.0000;0;0
0x000000005a37d0ce;0;92.6857;46.7821;826.4523;-0.5122;0.1870;1.0000;3;3
0x000000005a37d0ce;1;143.1673;28.2277;796.8817;0.1999;0.0696;1.0000;2;2
0x000000005a37d0ce;2;82.3396;-7.2704;813.7281;-0.0337;0.0122;1.0000;1;1
0x000000005a37d0ce;3;118.3352;-33.4173;789.4603;0.0419;0.0146;1.0000;0;0
0x000000005a38226d;0;92.6658;46.7896;826.4296;-0.5067;0.1850;1.0000;3;3
0x000000005a38226d;1;143.1581;28.2411;796.8745;0.2039;0.0710;1.0000;2;2
0x000000005a38226d;2;82.3302;-7.2643;813.7209;-0.0310;0.0112;1.0000;1;1
0x000000005a38226d;3;118.3373;-33.4115;789.4608;0.0402;0.0140;1.0000;0;0
0x000000005a384569;0;92.6589;46.7948;826.4277;-0.5093;0.1859;1.0000;3;3
0x000000005a384569;1;143.1567;28.2322;796.8894;0.1941;0.0676;1.0000;2;2
0x000000005a384569;2;82.3205;-7.2633;813.7370;-0.0264;0.0095;1.0000;1;1
0x000000005a384569;3;118.3306;-33.4175;789.4869;0.0433;0.0150;1.0000;0;0
0x000000005a389708;0;92.6455;46.8003;826.4470;-0.5107;0.1864;1.0000;3;3
0x000000005a389708;1;143.1390;28.2066;796.9250;0.1993;0.0694;1.0000;2;2
0x000000005a389708;2;82.2858;-7.2569;813.7712;-0.0277;0.0100;1.0000;1;1
0x000000005a389708;3;118.2897;-33.4347;789.5334;0.0485;0.0169;1.0000;0;0
0x000000005a38ba03;0;92.6455;46.8046;826.4497;-0.5126;0.1871;1.0000;3;3
0x000000005a38ba03;1;143.1324;28.2078;796.9236;0.1984;0.0691;1.0000;2;2
0x000000005a38ba03;2;82.2794;-7.2508;813.7784;-0.0278;0.0100;1.0000;1;1
0x000000005a38ba03;3;118.2774;-33.4327;789.5381;0.0415;0.0144;1.0000;0;0
0x000000005a38fffa;0;92.6647;46.8247;826.4540;-0.5047;0.1842;1.0000;3;3
0x000000005a38fffa;1;143.1452;28.2297;796.9150;0.2009;0.0699;1.0000;2;2
0x000000005a38fffa;2;82.2966;-7.2307;813.7787;-0.0298;0.0108;1.0000;1;1
0x000000005a38fffa;3;118.2885;-33.4111;789.5327;0.0424;0.0147;1.0000;0;0
0x000000005a3922f5;0;92.6825;46.8361;826.4506;-0.5186;0.1893;1.0000;3;3
0x000000005a3922f5;1;143.1664;28.2470;796.9191;0.2035;0.0708;1.0000;2;2
0x000000005a3922f5;2;82.3184;-7.2192;813.7730;-0.0270;0.0098;1.0000;1;1
0x000000005a3922f5;3;118.3136;-33.3949;789.5290;0.0437;0.0152;1.0000;0;0
0x000000005a3968ec;0;92.7294;46.8620;826.4495;-0.5085;0.1856;1.0000;3;3
0x000000005a3968ec;1;143.2260;28.2852;796.9286;0.2016;0.0702;1.0000;2;2
0x000000005a3968ec;2;82.3793;-7.1923;813.7595;-0.0354;0.0128;1.0000;1;1
0x000000005a3968ec;3;118.3869;-33.3583;789.5244;0.0386;0.0134;1.0000;0;0
